user_id,black_win_rate,black_lose_rate,black_draw_rate,black_game_count
AngreifervolleKanone,40.38461538461539,55.769230769230774,3.8461538461538463,52.0
ezln88,38.775510204081634,53.06122448979592,8.16326530612245,49.0
kidh,44.0,54.0,2.0,50.0
marvel1,48.0,48.0,4.0,50.0
PADAYANI21,75.0,16.666666666666664,8.333333333333332,12.0
Andrea_F54,46.15384615384615,48.07692307692308,5.769230769230769,52.0
valbuev,51.85185185185185,48.148148148148145,0.0,54.0
rrgarcia93,56.00000000000001,40.0,4.0,50.0
hazemfazzzaa85,45.45454545454545,51.51515151515152,3.0303030303030303,33.0
Amablenegrelle,54.0,44.0,2.0,50.0
blasALANGUIA_ESIC,45.83333333333333,43.75,10.416666666666668,48.0
davidhummel,52.94117647058824,45.09803921568628,1.96078431372549,51.0
ghobad141414,41.17647058823529,52.94117647058824,5.88235294117647,51.0
chapman_green,36.53846153846153,59.61538461538461,3.8461538461538463,52.0
Nofacekillah,50.0,47.82608695652174,2.1739130434782608,46.0
Twothree,53.70370370370371,46.2962962962963,0.0,54.0
arbuziiik,46.666666666666664,40.0,13.333333333333334,15.0
Elias_23_23,52.0,46.0,2.0,50.0
raffyagarcia,47.05882352941176,50.98039215686274,1.96078431372549,51.0
A_H_ABD,55.769230769230774,44.230769230769226,0.0,52.0
vsemstroi,0.0,0.0,0.0,0.0
menghini202,46.2962962962963,53.70370370370371,0.0,54.0
Endgame2780,100.0,0.0,0.0,2.0
DonJevo,39.21568627450981,54.90196078431373,5.88235294117647,51.0
learn98r96,44.230769230769226,40.38461538461539,15.384615384615383,52.0
Dharsan221,46.0,46.0,8.0,50.0
Montalvo3,55.769230769230774,40.38461538461539,3.8461538461538463,52.0
All_NiGnT,45.45454545454545,54.54545454545454,0.0,22.0
Termee,43.13725490196079,56.86274509803921,0.0,51.0
wearegenoa,52.63157894736842,45.614035087719294,1.7543859649122806,57.0
Poomlyglot,52.083333333333336,37.5,10.416666666666668,48.0
htywx_gnjl,46.93877551020408,51.02040816326531,2.0408163265306123,49.0
jerebox262,40.0,56.00000000000001,4.0,50.0
adzi_12,36.53846153846153,59.61538461538461,3.8461538461538463,52.0
Smelikk,47.91666666666667,45.83333333333333,6.25,48.0
ismailalsudani,34.69387755102041,61.224489795918366,4.081632653061225,49.0
iranshahi,36.0,60.0,4.0,50.0
mutohard,59.18367346938776,40.81632653061224,0.0,49.0
Peterdelk,44.230769230769226,51.92307692307693,3.8461538461538463,52.0
MrAdarsh,44.230769230769226,50.0,5.769230769230769,52.0
paxtonmidget,36.53846153846153,59.61538461538461,3.8461538461538463,52.0
elque-aprende,57.446808510638306,36.17021276595745,6.382978723404255,47.0
xenieray,44.0,52.0,4.0,50.0
Average505,61.224489795918366,38.775510204081634,0.0,49.0
