user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_highest_blitz_opponent_rating,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_win_streak_current,user_win_streak_max,user_loss_streak_current,user_loss_streak_max,user_total_games_played,user_op,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_total_games_played,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max,game_result
soloview,1386.0,40.0,57.0,2.0,100.0,35.41666666666667,62.5,2.083333333333333,48.0,45.11,2121.0,2059.0,1928.0,3.0,14.0,0.0,13.0,25366,Senatros,45.16,38.0,56.0,6.0,100.0,7502,1.0,11.0,0.0,9.0,0
Kawabanga222,1734.0,48.0,49.0,3.0,100.0,45.09803921568628,52.94117647058824,1.96078431372549,51.0,45.11,2321.0,2078.0,1976.0,4.0,9.0,0.0,12.0,1496,IOANN1978,45.1,51.0,43.0,6.0,100.0,17415,0.0,11.0,1.0,11.0,1
NiemannFan,1381.0,50.0,41.0,9.0,100.0,46.93877551020408,44.89795918367347,8.16326530612245,49.0,45.11,1684.0,1677.0,1656.0,0.0,8.0,1.0,10.0,544,limitsofman,45.07,52.0,43.0,5.0,100.0,9207,0.0,11.0,1.0,10.0,1
P3rrys0n,1438.0,50.0,48.0,2.0,100.0,51.02040816326531,44.89795918367347,4.081632653061225,49.0,45.06,1742.0,1727.0,1726.0,0.0,11.0,1.0,12.0,7720,nointoine,62.67,50.0,46.0,3.0,96.0,216,1.0,6.0,0.0,5.0,-1
Alexkonstbg,1886.0,52.0,45.0,3.0,100.0,50.98039215686274,47.05882352941176,1.96078431372549,51.0,45.01,2259.0,2126.0,2058.0,5.0,10.0,0.0,12.0,1470,drmskr,45.06,49.0,49.0,2.0,100.0,7151,4.0,13.0,0.0,13.0,1
Sp1aw,1170.0,34.0,62.0,3.0,29.0,46.15384615384615,53.84615384615385,0.0,13.0,280.55,1361.0,1175.0,1136.0,2.0,2.0,0.0,8.0,29,CiasnaMarietta69,55.87,0.0,0.0,0.0,0.0,2295,0.0,8.0,2.0,12.0,1
OLEGPLAYER152,1471.0,52.0,46.0,2.0,100.0,41.66666666666667,56.25,2.083333333333333,48.0,45.31,1595.0,1526.0,1510.0,1.0,13.0,0.0,5.0,372,boehmerich,0.0,43.0,52.0,5.0,100.0,2371,0.0,10.0,1.0,8.0,-1
timlawson,1872.0,50.0,43.0,7.0,100.0,49.01960784313725,43.13725490196079,7.84313725490196,51.0,45.1,2053.0,2041.0,2037.0,0.0,8.0,1.0,8.0,2335,Kuangaliev,45.3,57.0,36.0,5.0,57.0,1819,0.0,16.0,2.0,9.0,-1
AhmedHonda1986,1860.0,44.0,52.0,4.0,100.0,44.0,50.0,6.0,50.0,45.02,2065.0,2041.0,2030.0,0.0,13.0,1.0,12.0,3679,jorgeabel123,45.09,43.0,52.0,5.0,100.0,13742,0.0,10.0,2.0,13.0,1
gittilayke,1465.0,56.0,42.0,1.0,100.0,56.86274509803921,41.17647058823529,1.96078431372549,51.0,45.0,1595.0,1585.0,1579.0,0.0,9.0,2.0,13.0,2401,Caesarthedictator,45.01,47.0,48.0,5.0,100.0,294,1.0,6.0,0.0,6.0,1
ramac-bartol,1839.0,51.0,44.0,5.0,100.0,56.86274509803921,37.25490196078432,5.88235294117647,51.0,45.53,2005.0,1986.0,1979.0,0.0,9.0,1.0,9.0,2401,Voxel9999,45.06,48.0,44.0,8.0,100.0,4383,0.0,11.0,3.0,15.0,-1
bluecow1,1818.0,51.0,47.0,2.0,100.0,37.25490196078432,58.82352941176471,3.92156862745098,51.0,45.15,2082.0,2044.0,2025.0,0.0,11.0,1.0,9.0,7055,Akhilyadav98,45.36,43.0,54.0,3.0,100.0,3130,0.0,8.0,3.0,18.0,1
AvBurakhan,1526.0,100.0,0.0,0.0,3.0,57.692307692307686,40.38461538461539,1.9230769230769231,52.0,65.33,1677.0,1675.0,1644.0,10.0,10.0,0.0,8.0,719,manash12,113.54,0.0,0.0,0.0,0.0,28,0.0,2.0,2.0,8.0,-1
dukicmond,1730.0,47.0,48.0,5.0,100.0,49.01960784313725,47.05882352941176,3.92156862745098,51.0,45.02,2024.0,1988.0,1987.0,4.0,10.0,0.0,10.0,4598,Chinosantomera2,45.15,41.0,52.0,7.0,100.0,6916,0.0,13.0,1.0,9.0,1
northern_monkey,1761.0,51.0,45.0,4.0,100.0,47.05882352941176,47.05882352941176,5.88235294117647,51.0,45.01,1980.0,1935.0,1933.0,3.0,11.0,0.0,8.0,2163,HernanC,45.05,54.0,45.0,1.0,100.0,1081,2.0,13.0,0.0,11.0,1
mmevlutbyr,1462.0,52.0,45.0,3.0,100.0,44.0,54.0,2.0,50.0,45.0,1576.0,1563.0,1556.0,6.0,8.0,0.0,8.0,1576,Malzawar,45.23,50.0,49.0,1.0,100.0,695,1.0,9.0,0.0,11.0,-1
zdarzbrum,1521.0,43.0,53.0,4.0,100.0,34.0,60.0,6.0,50.0,45.18,1717.0,1709.0,1702.0,0.0,11.0,2.0,13.0,9842,Pajabobr,45.59,52.0,48.0,0.0,100.0,2645,0.0,10.0,2.0,12.0,-1
deestar,1709.0,39.0,55.0,6.0,100.0,40.38461538461539,57.692307692307686,1.9230769230769231,52.0,45.47,1855.0,1851.0,1844.0,0.0,14.0,1.0,11.0,2259,Nimishthegreat,45.05,33.0,55.0,11.0,27.0,2849,0.0,10.0,2.0,19.0,-1
bachmoch90,1426.0,50.0,48.0,2.0,100.0,56.25,43.75,0.0,48.0,45.15,2121.0,2082.0,2021.0,1.0,11.0,0.0,15.0,10242,Ruslan23-09-2011,45.05,51.0,46.0,3.0,100.0,5624,0.0,11.0,1.0,13.0,1
mehmeto,1466.0,44.0,56.0,0.0,100.0,40.0,60.0,0.0,50.0,45.03,1867.0,1846.0,1842.0,0.0,13.0,3.0,12.0,1745,MichalKp,45.29,42.0,52.0,6.0,100.0,281,3.0,5.0,0.0,7.0,1
dvsuhov,1500.0,83.0,17.0,0.0,100.0,0.0,0.0,0.0,0.0,500.0,,,,0.0,0.0,0.0,0.0,0,Iplaychessrarelyyou,310.52,31.0,69.0,0.0,100.0,1,0.0,0.0,1.0,1.0,1
mrkingtony,1419.0,42.0,54.0,4.0,100.0,41.17647058823529,58.82352941176471,0.0,51.0,45.21,1838.0,1774.0,1759.0,0.0,11.0,1.0,12.0,7009,dragonson7777,45.0,47.0,51.0,2.0,100.0,17746,0.0,12.0,2.0,23.0,-1
bullseye9,1510.0,44.0,49.0,7.0,100.0,40.81632653061224,46.93877551020408,12.244897959183673,49.0,45.36,1999.0,1959.0,1807.0,0.0,9.0,1.0,11.0,2076,picassent18,45.2,48.0,46.0,6.0,100.0,15655,0.0,11.0,1.0,15.0,-1
kezhik_0,1514.0,51.0,42.0,7.0,100.0,50.0,42.0,8.0,50.0,45.07,1609.0,1589.0,1574.0,0.0,9.0,3.0,9.0,852,TheDarkKnight-927,45.04,50.0,47.0,3.0,100.0,12516,2.0,13.0,0.0,11.0,-1
albassem4,1412.0,47.0,52.0,1.0,100.0,51.02040816326531,48.97959183673469,0.0,49.0,45.1,1643.0,1626.0,1604.0,0.0,9.0,4.0,9.0,1785,Intermega,45.25,54.0,46.0,0.0,100.0,3031,0.0,13.0,1.0,8.0,-1
Sky0010,1808.0,48.0,50.0,1.0,99.0,44.89795918367347,53.06122448979592,2.0408163265306123,49.0,45.19,1941.0,1924.0,1911.0,3.0,3.0,0.0,4.0,119,kamilllus,56.91,50.0,45.0,5.0,100.0,4323,0.0,12.0,4.0,9.0,1
bobby-vishy,1769.0,56.0,37.0,6.0,100.0,57.44680851063831,42.5531914893617,0.0,47.0,45.05,2318.0,2271.0,2239.0,1.0,10.0,0.0,12.0,8452,hakdag,45.0,51.0,45.0,4.0,100.0,10122,1.0,11.0,0.0,9.0,1
PlayaONE,1721.0,41.0,56.0,3.0,100.0,42.0,56.00000000000001,2.0,50.0,45.35,1923.0,1915.0,1915.0,0.0,10.0,2.0,14.0,2002,Rokuro_696969,62.07,45.0,45.0,9.0,33.0,1942,2.0,9.0,0.0,9.0,-1
leongambit,1667.0,51.0,48.0,1.0,100.0,48.97959183673469,48.97959183673469,2.0408163265306123,49.0,45.03,1948.0,1945.0,1937.0,3.0,9.0,0.0,10.0,1663,GamerTimur,45.12,46.0,51.0,3.0,100.0,9367,0.0,14.0,1.0,12.0,1
loup76,1342.0,49.0,47.0,4.0,100.0,44.0,52.0,4.0,50.0,45.08,1661.0,1654.0,1642.0,0.0,15.0,4.0,14.0,10985,OliverFrazao79,45.05,47.0,52.0,1.0,100.0,10670,0.0,12.0,2.0,26.0,-1
Saganash13,1804.0,52.0,45.0,3.0,100.0,55.10204081632652,42.85714285714285,2.0408163265306123,49.0,45.02,2100.0,2097.0,2074.0,2.0,7.0,0.0,7.0,521,hachas123,45.07,40.0,57.0,2.0,100.0,16282,0.0,9.0,2.0,17.0,1
Yazish,1537.0,70.0,30.0,0.0,100.0,55.10204081632652,38.775510204081634,6.122448979591836,49.0,48.14,1779.0,1553.0,1542.0,2.0,11.0,0.0,6.0,299,AlexLeipzig,196.84,0.0,0.0,0.0,0.0,57,1.0,1.0,0.0,3.0,1
Naddyuza,1404.0,48.0,49.0,3.0,100.0,40.38461538461539,55.76923076923077,3.8461538461538463,52.0,45.06,1572.0,1536.0,1532.0,0.0,12.0,3.0,14.0,9404,rahulreddyv,45.04,47.0,45.0,8.0,100.0,6823,1.0,11.0,0.0,9.0,-1
IplayforDRAW,1686.0,57.0,37.0,5.0,100.0,51.85185185185185,46.2962962962963,1.851851851851852,54.0,0.0,1838.0,1819.0,1817.0,0.0,7.0,1.0,9.0,1103,salimshamas,0.0,14.0,85.0,0.0,21.0,18219,,,,,1
sandraekaputra,1719.0,51.0,46.0,3.0,100.0,50.0,48.0,2.0,50.0,0.0,2155.0,2133.0,2124.0,0.0,10.0,3.0,13.0,8949,Aercio27,0.0,42.0,54.0,4.0,100.0,19367,0.0,13.0,1.0,14.0,-1
ImaRandomBot,1350.0,39.0,57.0,3.0,100.0,26.41509433962264,64.15094339622641,9.433962264150944,53.0,89.42,1862.0,1819.0,1770.0,1.0,6.0,0.0,10.0,66,htywx_gnjl,52.76,51.0,47.0,2.0,100.0,259,0.0,9.0,1.0,5.0,1
killagame72,1194.0,50.0,47.0,3.0,100.0,53.333333333333336,44.44444444444444,2.2222222222222223,45.0,45.12,1321.0,1316.0,1305.0,1.0,9.0,0.0,7.0,199,karimtermos,45.21,45.0,53.0,2.0,100.0,6118,0.0,12.0,3.0,10.0,-1
GROss044,1165.0,39.0,61.0,0.0,100.0,32.0,66.0,2.0,50.0,52.86,1805.0,1736.0,1676.0,0.0,11.0,3.0,12.0,4642,Timur_Teregulov_988,81.45,0.0,0.0,0.0,0.0,5614,0.0,11.0,3.0,11.0,-1
RGratsch,1771.0,51.0,49.0,0.0,100.0,43.13725490196079,56.86274509803921,0.0,51.0,45.07,2184.0,2160.0,2155.0,1.0,12.0,0.0,14.0,5416,mrmajid20640565,49.99,0.0,0.0,0.0,0.0,2156,0.0,10.0,1.0,9.0,-1
bernao,1856.0,52.0,46.0,2.0,100.0,52.94117647058824,45.09803921568628,1.96078431372549,51.0,45.02,2270.0,2254.0,2254.0,0.0,14.0,3.0,13.0,58000,aogorek,45.0,46.0,50.0,4.0,100.0,10397,0.0,13.0,1.0,12.0,-1
ssekoss,1445.0,54.0,44.0,2.0,100.0,56.00000000000001,42.0,2.0,50.0,45.0,1685.0,1665.0,1660.0,2.0,13.0,0.0,14.0,4598,Inuyasha3261,45.02,50.0,48.0,2.0,100.0,2694,1.0,9.0,0.0,10.0,-1
CARMONAA,1271.0,41.0,53.0,6.0,100.0,37.735849056603776,58.490566037735846,3.7735849056603774,53.0,45.62,1815.0,1665.0,1652.0,0.0,10.0,4.0,8.0,3139,HankRearden,45.04,42.0,54.0,4.0,100.0,8845,0.0,12.0,2.0,12.0,-1
davidisraelhay,1512.0,47.0,49.0,4.0,100.0,32.6530612244898,65.3061224489796,2.0408163265306123,49.0,45.04,1763.0,1736.0,1736.0,0.0,6.0,1.0,6.0,381,Ginzaboom,45.2,42.0,52.0,6.0,100.0,7624,0.0,11.0,0.0,10.0,-1
werdnaz,1701.0,50.0,50.0,0.0,54.0,52.94117647058824,39.21568627450981,7.84313725490196,51.0,46.81,1804.0,1757.0,1754.0,0.0,8.0,2.0,9.0,964,adamjuggler,57.75,61.0,33.0,5.0,54.0,4163,0.0,11.0,2.0,14.0,1
Mahanand,1868.0,50.0,46.0,4.0,100.0,44.0,50.0,6.0,50.0,45.0,2106.0,2052.0,2013.0,0.0,9.0,1.0,15.0,2250,dedum,45.1,56.0,41.0,3.0,100.0,1714,2.0,12.0,0.0,8.0,1
