user_id,blitz_rating
Gennadiy300iq,1227.0
saam2022,2338.0
RolliI,1874.0
KING-BKD,2188.0
GPLuiS,1723.0
B0103232338,2433.0
himselfCaTaHa,1948.0
PESKI,1450.0
Curiosito,2008.0
HamedKolajei,944.0
Timur96,2211.0
Swissknight17,2172.0
Ticolv,1958.0
dmitrijiiiGM,2856.0
BbZ2018,1423.0
guile_mig,1434.0
TR3Z,1305.0
pawninthedawn,1173.0
Periostio,1990.0
Viktor37bulaew,1236.0
SashaMun,1506.0
C-6YXTbI-6APAXTbI,2234.0
Great1099,962.0
MightBeDecent,2663.0
auror4,1225.0
MasterBishop,2246.0
alexeishmidt,1182.0
AnatraCubista,1506.0
fenixwolf9104,1997.0
EGORZEMLIANOV,822.0
AWildAccountant,1756.0
julianomagnus,1237.0
osprey7,2304.0
Wolf6666,1336.0
Massimissa50,1913.0
HrayrArm,1784.0
mesterseen,2421.0
pacman1354,2510.0
marcomira,1303.0
vania457,2322.0
Digitaldreamer,2167.0
harsha15,2617.0
vlad_thechesslover,2463.0
TheChessMate2018,2074.0
mortpal,1405.0
Devdev,1245.0
hhb9,1318.0
jvr84,1418.0
Jega15,1468.0
coolqueenbee,1500.0
Xplo1983,1097.0
RolandM1,1419.0
TZahar,1059.0
ILLYA_Belov,2500.0
AnaDzuba,2152.0
armyan,1894.0
napirnet,1429.0
thejc50,2164.0
Ashraf202,2099.0
KeonSK,1500.0
biffdiggerence,2377.0
Anton87582,1034.0
xyz1981,2587.0
beatermachine,1841.0
chessknocker7,2606.0
dogrovas,1931.0
petrover,2612.0
Noot_Noot1,1280.0
VitusIII,2146.0
freyrolito,1939.0
AZF0001,1109.0
MastaOfDisasta,2330.0
fockengrind,1016.0
Xavi_M,1344.0
turbado2023,952.0
ArnaldoNP,1871.0
Hristo1956,949.0
Didarchal,1881.0
Burakarzuoglu,1023.0
weduskece,1765.0
Maksim2204,1219.0
saeta,2476.0
Tiloli,1249.0
its_me101,963.0
JZEPEDA12,1094.0
joniking1999,1293.0
Akalp25,1406.0
Abanamate,2482.0
Emmett_Brown,1720.0
lplaych,1955.0
mahendra72,1532.0
N_Drake,1358.0
fabiobc,1060.0
twobraveelephants,2365.0
chess-is-a-live,2488.0
keko135,1268.0
Brauberg111,2002.0
CivEn,2572.0
TheEagle_64_19,2208.0
OmkarReddy,1335.0
ihsoza,1317.0
dr_xStranger,2749.0
Tablebender,978.0
tonyjames1980,1315.0
Marvestinc,1409.0
Yazan_metax,1452.0
l3ab-idin,1807.0
hassan1367,1292.0
Alexprofesional,2582.0
Rafi-2020,2547.0
Chelikk,1278.0
MagicSymphony,2523.0
Dovolen123,2014.0
Daniel123345,2186.0
omidali1362,1861.0
TGibby,1052.0
christohahaha,2210.0
ashi1324,1406.0
kaydavral,1511.0
Auricaura,1484.0
HogRider1919,1147.0
MisterOnua,1995.0
Optical64,1911.0
Mercedecc,2230.0
Fidayi19_63,1578.0
iExystoria,1183.0
vladimir_garbuzov,2235.0
PowerRank,886.0
baldinizk,1394.0
medoy1117,1705.0
Venom_Master200,873.0
gnuzzi1972,1351.0
injuredWolf,1299.0
Rudra187,2052.0
Fart007,2408.0
morasheed95,1254.0
G0tcha,1470.0
kagaskostas,2328.0
fromsakh,1334.0
UltracoldAtom,2184.0
Hasanyilmaz51,923.0
roksom,1182.0
y0ucantakem3,2440.0
Kaantheking80,1405.0
b31b6Consultant,2508.0
casseval,1298.0
Fernando180317,524.0
Pogorio,1218.0
HoangXuanTung,1072.0
othello1,2000.0
roguedoc1,1182.0
DoktorB1942,1362.0
Kohortes,1259.0
strong-king1,1339.0
ihumanzot1,1995.0
Satalkin,1038.0
Space_Bravo,742.0
kirankuliyadi,1735.0
AlanSpn,1371.0
den4ik222,871.0
stanbad1,2657.0
tempoocioso,2005.0
Mandavismo,2597.0
SpiderFX,1179.0
Andey_and_chess,1129.0
ibicenco,2349.0
thekinglear,2418.0
th2j,1820.0
TheNoobiestNoob,1872.0
Glam58,1536.0
ivanknobel,1233.0
Henry47,1703.0
gloriafm,2442.0
Altarius,2141.0
xzMzx,1720.0
Jonhseo,2206.0
EdgarCid,938.0
indomie_egg,2668.0
lavr64,2365.0
Anatolyx,1123.0
JohnJameson88,1966.0
ZAKOPAYKO,2085.0
mohamedalbashi89,2022.0
abshakeyourworld,1068.0
vansh0215,955.0
Derahdoc,1911.0
romkie,1811.0
Firsttouch,1942.0
SubZero-CUBA,2373.0
NotSkate0815,1500.0
MgcnofRiga,2010.0
Slavik_0,1065.0
Chinaskinear50,2294.0
Dopachen,2244.0
Nathanaelle0421,1066.0
eneshanedar,1794.0
missanth,1761.0
Shukh_Nikolay,2576.0
Dmitry_Loshakov,2072.0
liamboogar,1488.0
Jarlaxle38838,1200.0
Neftegor,2479.0
Martinsomerbest,1422.0
CihatDayk1978,1272.0
shrvntal,2141.0
bayat2021,1499.0
pavelarshinn90,1003.0
LSChessonTwitch,2236.0
Layfi,1500.0
be_an,1465.0
SombraFugitiva,2302.0
ClashR0yale,1205.0
daemonthegoat,996.0
Proton_2,1500.0
Phmmtm,1293.0
gowsalyan2021,2135.0
Cyprille,1050.0
maestromorenito,2140.0
varunvar,2707.0
KemoLU23,2323.0
Dragontiger83,2157.0
Bohabbeh,2106.0
flemmli,921.0
pipoynana,1922.0
Tyron_Woodley,2229.0
Gontalot,2206.0
ArturoV2024,2109.0
Gustav_1999,1104.0
Aswerches,1388.0
lunchcritic,1445.0
alnikgul,1777.0
