,user_id,blitz_rating,total_games_played
320,Twothree,1367.0,4314
321,arbuziiik,1383.0,25
322,Elias_23_23,1405.0,3570
323,raffyagarcia,1740.0,28645
324,A_H_ABD,1412.0,735
325,vsemstroi,1500.0,0
326,menghini202,1338.0,2468
327,Endgame2780,1961.0,2
328,DonJevo,1424.0,554
329,learn98r96,1692.0,23902
330,Dharsan221,1413.0,5369
331,Montalvo3,1768.0,1361
332,All_NiGnT,1087.0,39
333,Termee,1659.0,3985
334,wearegenoa,1628.0,523
335,Poomlyglot,1827.0,8348
336,htywx_gnjl,1828.0,250
337,jerebox262,1753.0,5835
338,adzi_12,1192.0,904
339,Smelikk,999.0,1394
340,ismailalsudani,1202.0,435
341,iranshahi,1848.0,3105
342,mutohard,1599.0,121
343,Peterdelk,1435.0,6112
344,MrAdarsh,1331.0,761
345,paxtonmidget,1462.0,6024
346,elque-aprende,1820.0,1591
347,xenieray,1765.0,971
348,Average505,1333.0,125
349,yas1376,1728.0,4961
350,g_peron,1692.0,509
351,ImprovisedOpening,1356.0,1
352,lemonsgambit,1362.0,76
353,Sherif_yassin,1439.0,1051
354,manuP73,1649.0,503
355,khaled_boudina,1443.0,2290
356,sunyatameng,1575.0,5100
357,kayaloram,1427.0,46979
358,Pavel_Ch,1704.0,12968
359,Christos56,1449.0,15936
360,Shikhar_Dhangar,1373.0,2077
361,Rgloreto,1765.0,4045
362,jechumizx,1641.0,83
363,Albert_Einstein_12,2099.0,3574
364,hammer_of_destiny,1419.0,4876
365,popfhv,1413.0,2
366,YOURSISTERBOYFRIEND,1794.0,6302
367,KawaiBullet,1328.0,200
368,Grandayo,1770.0,11686
369,papabadboy,1280.0,1072
370,podiumthief,1319.0,67
371,BryanBedoyaArrubla08,1364.0,19
372,Wolfi71,1891.0,6751
373,Maxp1974,1676.0,5434
374,Maxim_lu,1226.0,1155
375,jaychole,1889.0,2220
376,bermudaox,1235.0,348
377,zeitGuy,1476.0,837
378,A7968801,1491.0,7948
