user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count,rating_deviation
ManGoka,2250.0,57.0,39.0,3.0,100.0,45.1
RAJNEESH_2800,1500.0,0.0,100.0,0.0,2.0,500.0
Kingjo81,1893.0,63.0,30.0,7.0,100.0,47.11
arnehjain,1411.0,50.0,50.0,0.0,6.0,90.61
TheBenkoKid,2420.0,55.0,39.0,6.0,100.0,45.07
Smauge44,1540.0,40.0,59.0,1.0,100.0,45.1
Mike511,1905.0,52.0,46.0,2.0,100.0,45.08
yourcher,2304.0,25.0,69.0,6.0,100.0,45.02
MessatsuX,1493.0,49.0,48.0,3.0,100.0,45.0
enk1500,1500.0,0.0,100.0,0.0,21.0,287.35
TheMonalisa67,2146.0,46.0,44.0,10.0,100.0,45.56
winegum1994,1663.0,50.0,37.0,12.0,24.0,50.49
Shantanu2706,1518.0,47.0,48.0,5.0,100.0,45.56
Magicmaster17,2782.0,55.0,34.0,11.0,100.0,47.2
milord11,2064.0,36.0,54.0,9.0,33.0,48.31
h1kk1,2553.0,44.0,44.0,11.0,27.0,58.27
Blindtrader,2109.0,44.0,47.0,9.0,100.0,45.05
mterpstra,894.0,66.0,33.0,0.0,18.0,67.93
prozrevshiyd,1642.0,45.0,52.0,3.0,100.0,45.16
anand10m,562.0,39.0,51.0,10.0,100.0,46.28
dendymon,911.0,45.0,50.0,5.0,100.0,45.43
biradoor17,2149.0,45.0,47.0,8.0,100.0,61.37
Camelo01,1709.0,80.0,20.0,0.0,15.0,45.98
rajvikky,1125.0,47.0,47.0,6.0,100.0,45.13
Neutro30,2433.0,49.0,40.0,11.0,100.0,45.0
kenny_nsk,1371.0,41.0,54.0,5.0,100.0,45.04
dr_dre08,2713.0,63.0,31.0,6.0,100.0,47.23
AlexVerzhansky,2461.0,34.0,64.0,2.0,100.0,45.99
blizeur,2362.0,56.0,37.0,6.0,100.0,48.9
HSV4everandever,2439.0,66.0,31.0,3.0,100.0,45.0
sos-shubham,2246.0,65.0,30.0,4.0,69.0,51.45
nekit2004,2375.0,55.0,41.0,4.0,100.0,45.58
Jmilie,1283.0,67.0,28.0,5.0,100.0,126.76
flyonill,1088.0,50.0,50.0,0.0,42.0,82.5
DimonOff24,2285.0,48.0,43.0,9.0,100.0,45.03
BetterCollSoul,2837.0,79.0,10.0,11.0,100.0,46.09
Khaledcharf,1975.0,46.0,47.0,7.0,100.0,66.2
Judamaster,992.0,55.0,45.0,0.0,100.0,45.0
Jossbros,2449.0,53.0,41.0,6.0,100.0,45.02
zeytin57,1983.0,56.0,36.0,8.0,100.0,45.01
VladPyankov,1232.0,0.0,100.0,0.0,3.0,178.33
Korchnoi-RIP,1972.0,50.0,47.0,3.0,100.0,45.1
AshwinChunchu,2375.0,59.0,33.0,8.0,100.0,45.11
mzauber,1107.0,56.0,40.0,4.0,100.0,45.06
HammerschlagWins,1676.0,56.0,42.0,2.0,100.0,92.69
WinnerArtjom007,2187.0,43.0,56.0,0.0,90.0,83.87
