user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,blitz_rating
Forester10,41.0,54.0,5.0,100.0,960.0
kaskin,46.0,50.0,4.0,100.0,1426.0
glavbuch,60.0,35.0,5.0,100.0,1974.0
Makkela,53.0,37.0,10.0,100.0,1661.0
bryham02,45.0,53.0,2.0,100.0,942.0
Rezamsv,54.0,42.0,4.0,100.0,1509.0
xeque60,37.0,56.0,6.0,100.0,1807.0
bryce3,44.0,53.0,3.0,100.0,1657.0
Bahadir077,20.0,78.0,2.0,100.0,1178.0
BetterCollSoul,70.0,18.0,12.0,100.0,2872.0
Silvana14,20.0,60.0,20.0,15.0,1681.0
AV_Zikov5262,69.0,23.0,7.0,39.0,1684.0
Dreighck,52.0,47.0,1.0,100.0,1220.0
Gagha,46.0,53.0,1.0,100.0,1844.0
beeeni,45.0,55.0,0.0,100.0,1093.0
KARLEN69,43.0,54.0,3.0,100.0,1604.0
mta63,38.0,60.0,2.0,100.0,1705.0
ernelconsul47,100.0,0.0,0.0,3.0,1350.0
inzeitnot,35.0,59.0,6.0,100.0,2105.0
tati_musicc,52.0,42.0,6.0,100.0,714.0
akim5848,44.0,55.0,1.0,100.0,1139.0
nguyenminhhoang11,100.0,0.0,0.0,3.0,1563.0
jaime_25,43.0,56.0,1.0,100.0,1263.0
DR-kasber,79.0,18.0,3.0,100.0,1898.0
marco057,48.0,47.0,5.0,100.0,1300.0
Robin_10111,52.0,47.0,1.0,100.0,1635.0
ahmedams,44.0,52.0,4.0,100.0,1119.0
AntonSemenov027,53.0,42.0,5.0,100.0,1770.0
laco_thi,37.0,62.0,0.0,24.0,1335.0
zoriO,39.0,56.0,5.0,100.0,987.0
Marcelogarrido,46.0,49.0,5.0,100.0,1038.0
Mr_Glance,39.0,54.0,7.0,100.0,1567.0
winklevan,46.0,48.0,6.0,100.0,1819.0
Rockstar_aarav,0.0,100.0,0.0,12.0,767.0
Adesz,50.0,46.0,3.0,90.0,1732.0
terrazzos,28.0,72.0,0.0,100.0,1445.0
rmorais,46.0,51.0,3.0,100.0,1795.0
Konsti2,47.0,45.0,8.0,100.0,2211.0
Alex62Samara,45.0,50.0,5.0,100.0,1900.0
Dfah89,51.0,41.0,8.0,100.0,1661.0
Rosaldo1968,47.0,51.0,2.0,100.0,1536.0
costa5,42.0,56.0,2.0,100.0,993.0
valen_colomba,33.0,61.0,6.0,100.0,825.0
Luke24,41.0,49.0,10.0,100.0,1644.0
GautamK2002,66.0,33.0,0.0,18.0,1813.0
maribor69,52.0,46.0,2.0,100.0,1286.0
Ronald-Tepan24,29.0,70.0,0.0,81.0,1534.0
AGARMENIA,47.0,49.0,4.0,100.0,1873.0
visca-barca11,38.0,46.0,15.0,78.0,2260.0
damabi,50.0,47.0,3.0,100.0,1403.0
bakeland,47.0,46.0,7.0,100.0,1422.0
Andrinovchaniago,57.0,36.0,6.0,100.0,1810.0
djanbekovArslan,39.0,54.0,7.0,100.0,1660.0
lalabok,51.0,49.0,0.0,100.0,1887.0
Mudit265,44.0,46.0,10.0,100.0,1122.0
danbock,49.0,43.0,8.0,100.0,2071.0
ArlindoPinto,50.0,50.0,0.0,54.0,1991.0
intermede,41.0,57.0,1.0,100.0,1467.0
SavantBrain,46.0,49.0,5.0,100.0,1862.0
beratsa,51.0,44.0,5.0,100.0,1078.0
wilsonjavier39,49.0,47.0,4.0,100.0,1958.0
A-H-G,51.0,44.0,5.0,100.0,1626.0
bambang_hcn,75.0,21.0,4.0,100.0,2131.0
Lello1963,45.0,48.0,7.0,100.0,1656.0
daiyandarvin,6.0,93.0,0.0,93.0,575.0
Fischer2999,55.0,43.0,2.0,100.0,1310.0
masherot,33.0,66.0,0.0,18.0,1343.0
moris_1987,50.0,42.0,7.0,42.0,1803.0
nagarajansai,46.0,50.0,4.0,100.0,1269.0
kg_master,44.0,52.0,4.0,100.0,1239.0
Chicken1402,45.0,53.0,2.0,100.0,1564.0
angga10,41.0,56.0,3.0,100.0,1669.0
