user_id,user_op,game_result
Viditgujrathis1,nick102422,-1
moukkamainen,TipoKonditer,-1
vladimir13031956,Leopard99,-1
alexey064,jt3010jt,-1
Ilnar-2013,Landyshka,-1
Isaac375,MalcPawnpusher,-1
tankthinks,Friedrichzwa,1
A-Glorious-Purpose77,RoNaLd0001,0
webcache,Chizzy2019,1
Ssarwar,samuelnk,1
rldls25,sergior2021yn,-1
Aravshiv,bossCatur,1
oscaray,Pavlogradez96,-1
jasonhokuo,ilko54,0
batoolnajjar,YG66,-1
Nackenpeitsche,Gaber_Gad,1
gacman,Saroyan_Vardan,1
alizare12888,shtz45,1
l3atu,IY-1106,0
mbcenp,Yagermeyster,-1
CharlesCoquilla,Mango510,-1
Lino52,Perrytaylor,-1
DDiamond1,anonymous64,1
Temo_Kurze,vvv67,-1
kartrait,MAKE67,0
armanserrii,LorenzoD24,-1
Xcalibor1370,Yeti810,-1
ABHIJITHPRABHAKAR,Ahoon1,1
PavelSH08,sean_ch,1
JordanCarlzen,barca2021,-1
munirh,FNORD69,-1
Uni4,juanzs25,1
chubizard14,racielmi83,1
vengeancewarrior_01,waterphone,1
mehrdadsofi,ABHISHEKDESHMUKH74,1
retrojet,sbudiono10new,1
MrQuax,Shahnaza,-1
HW85296,Aurelien0025,-1
Antichesskiller,Emir4234,0
herr_furb,IgorZub65,-1
drhuda,Kirill_Don_on_Rostov,1
IzyaKatsman,PeterMG,-1
ej_1000,PegasusWing117,-1
AlbTaMar,cavansit,1
Bigbur,andr92,-1
Pak_Dirman_Ondonk,TataOgryzka,-1
Satyajit99,NourMD,1
TheRookMaster7,noelpunn,-1
JuppJuppGo,girlsmodelschool,1
omid34100,mohamad3410,1
Kuba1Zubko,dennysaquino,-1
davidJPK,Achan_Smora,-1
LouisScordia,sansrini18,-1
WaitzJack,Phomopsis,-1
Amirhan-1985,Mamadmetal36,-1
mete64,Keyvanfeyzi,1
LargeChessBig1,Baralex2021,1
NikolaDubovik,Sasa120130,-1
TuanBach2k2,apsampaio,1
Seth_Harmon,royalmed,1
literaturafantasma,nowait,1
kertoskopos2,Sl1mp01,-1
Harshal4511,mxsmile2,-1
Hearth3,matan1111,1
mishanya0211,BulatMusin,-1
DDrogba9,Arash_kingg,1
majidZzz,janesk,1
mateineagu,Deei,0
Sunatullo,aymenhamdaoui,-1
molodoykaluga,riellea,1
Ani12,UncleClode,-1
NSoumia,KtownBeats,1
saifal,whomst_gambit,0
VenyaP,,401
niharika_kulshrestha,,401
Jesuswithsunglasses,puhkin,-1
yted,stifler23,0
AZE_MaFo,zahran_tall,1
ShanthamGrarks,Childish-Eme,-1
jajahbtr,DarthRevanFromCorusc,-1
MakhmudovRuslan,karde60,-1
meru9em,Yogesh600,-1
delicex81,mixail31975,1
Atom1324,Hustleer,-1
Artemka19,VladislavArtemiev1,-1
eru728,Kry789,-1
Abs53,VA1975,-1
abhiruch,JeromyV,-1
A1bus_P0tter,Evichitho,1
Artemo4ka2014,SidewaysKnight,-1
lexxandro,zefazry,-1
Piotr46,Lapindiz,1
Mikesssss,samarthsomani,-1
gersht,JunkieXXL,-1
fifsandnics,dalboris,1
purvaj310512,chesssrkn,-1
ezrasia,Hit_143,1
hobetto22,Grisu1971,1
Juancarlosp64,oz-chess,-1
galacticomalacio7596,Mix56_38,1
MNadzimZ,,401
barhos,,401
east_w1nd,ruis123,0
fingoldo,chrss216,-1
dx_l,khaliditsky,1
Trillaco,leonhard1301,-1
jlcanale,Mischuk_D,-1
Borhu0309,centdsutsou42,-1
pradyumna123,RM1540,1
madbot22,kaspwner,1
DaweedHo,Anatoli_Gallov,-1
Zedatiana,Mirco1958,1
AHGEL,GabrielGoto,-1
jmgm,hromserg,-1
himmet20,AliSimsek,1
Leond27,cristophera21,0
arne_eta,thewatariii,1
ARMAGEDDONISHE,nasticus,-1
MehrshadZIP,peterboy,1
vihaanbagga,WWIIISoldier,-1
liebeimspektrum,wrookster,-1
stutitiwari,PrashantPandey1234,-1
Hackschack,Mustafa-Gokpinar,1
nibbix,Aragorn1001,1
achezz,Jettybitty,1
arican_cinar,mm335,-1
WillisTheWarrior,nonongrael,1
flowerofheavenmct,divachess,-1
coumbole,Supermatechessjc,1
Karpuhin-Nikita,Gena2010,-1
al_fawaris,edmondaj,-1
WSananaSW,DJEKA_ZLO,-1
Abrahamprocel,MUNOR60,-1
graanfer,WizKnight,1
sauravvyas44,Maximum925,1
Lesteramschess28,BlueKnight22,-1
satanicuprising,IntegerX,-1
merblkn,gambit0402,1
albertasis,Bazavov,-1
RomaStudent,XADREZ57,-1
Ar3a,NutBoltu,-1
SchachJoghurt,chess98c,1
Excalimaz,etherbleeder,1
pfticas,Ry1975,1
SpartiateDesSteppes,oticMJ,1
alanjoshy163,s_m_sajjadi,-1
capov1973,Igor_Gavrilin,1
Ankitakshu,chessavenger31,1
amiralikhan,mahdinajafi1956,1
RRR20,lastdancetonight,-1
atcosennu,ignaciuk,1
palip,mamountahri,-1
Tigran281190,sosochauchidze,-1
Aadit2023,antoniovaldez,0
Kirgiit,perder_es_ganar,-1
P_DR_0,jasso007,-1
andresramiriqui,noquierojugarajedrez,-1
Sarveshdev01,datiljlj,1
piyushmodi25,fima912,-1
