user_id,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_user_blitz_total_games,op_user_best_win_1,op_user_best_win_2,op_user_best_win_3
danavi2612,emi1971,-1,45.0,53.0,2.0,100.0,1089.0,42.308,50.0,7.692,52.0,36.17,63.83,0.0,47.0,nonStandard,A00,B07,C21,0.436,0.205,0.154,0.482,0.214,0.054,250.0,102.64,88.0,1408.0,1073.0,955.0
Martinovky,veersen,1,59.0,37.0,4.0,100.0,2142.0,55.932,42.373,1.695,59.0,53.03,42.424,4.545,66.0,A46,A45,B07,A48,0.103,0.662,0.221,0.132,0.623,0.226,255.0,57.59,4374.0,2709.0,2699.0,2668.0
DarianaSofia,ChessN88,-1,47.0,49.0,4.0,100.0,1461.0,0.0,100.0,0.0,3.0,33.333,66.667,0.0,3.0,C26,C47,D00,C26,0.0,0.0,1.0,0.2,0.4,0.2,170.0,207.45,6.0,0.0,0.0,0.0
Jayohyaa,Aur3liien,-1,11.0,88.0,0.0,9.0,592.0,28.846,65.385,5.769,52.0,22.5,70.0,7.5,40.0,C23,C50,C27,nonStandard,0.417,0.292,0.25,0.355,0.403,0.194,311.0,75.81,92.0,1062.0,990.0,857.0
ZPhoenix,WarriorI,1,49.0,49.0,2.0,100.0,1978.0,50.0,47.059,2.941,68.0,40.351,57.895,1.754,57.0,C42,B23,C15,D02,0.263,0.561,0.158,0.169,0.615,0.154,348.0,64.69,3314.0,2320.0,2129.0,2109.0
OrxanNamazov1995,panvas,-1,43.0,56.0,1.0,100.0,1465.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,D02,,D02,,0.0,0.0,0.0,1.0,0.0,0.0,201.0,291.15,1.0,0.0,0.0,0.0
Mrtaktahumain,Kiry_23,1,39.0,59.0,2.0,100.0,1979.0,53.704,38.889,7.407,54.0,33.803,61.972,4.225,71.0,nonStandard,A40,B44,A06,0.208,0.415,0.321,0.154,0.708,0.123,266.0,125.88,516.0,2307.0,2265.0,2219.0
mohamedabdallah5478,GianniPro,1,54.0,43.0,3.0,100.0,1483.0,46.032,49.206,4.762,63.0,50.0,43.548,6.452,62.0,B30,B20,A20,C42,0.4,0.467,0.083,0.328,0.31,0.328,356.0,69.03,2386.0,1988.0,1970.0,1889.0
Etzothegreat,CrisCafure,-1,49.0,37.0,14.0,100.0,1704.0,51.562,40.625,7.812,64.0,45.902,47.541,6.557,61.0,C21,B40,B01,B07,0.18,0.541,0.262,0.473,0.455,0.036,354.0,45.62,232.0,1757.0,1716.0,1714.0
DXNNXS1155,anhardomino,1,48.0,49.0,3.0,100.0,1525.0,52.239,43.284,4.478,67.0,62.069,27.586,10.345,58.0,B10,A40,D11,C24,0.282,0.479,0.239,0.333,0.4,0.222,276.0,45.98,267.0,1539.0,1527.0,1522.0
AARIVSURESHPANDIAN,Xyribo,-1,73.0,23.0,4.0,100.0,1224.0,0.0,100.0,0.0,5.0,25.0,50.0,25.0,4.0,C20,C02,C50,C02,0.0,1.0,0.0,0.714,0.143,0.143,317.0,195.55,9.0,0.0,0.0,0.0
Spike1825,ldsnlcf3r,-1,42.0,54.0,4.0,100.0,1844.0,64.286,35.714,0.0,14.0,52.941,41.176,5.882,17.0,C00,B40,B11,A01,0.333,0.444,0.222,0.167,0.833,0.0,203.0,98.94,31.0,2403.0,2347.0,2346.0
rorr1234,Bojan1SRB,-1,46.0,53.0,1.0,100.0,1724.0,39.062,48.438,12.5,64.0,42.623,49.18,8.197,61.0,A40,B30,D92,A85,0.275,0.353,0.353,0.607,0.098,0.295,282.0,47.4,6546.0,1953.0,1924.0,1920.0
DanyOk87,Lenox66,-1,49.0,48.0,3.0,100.0,1512.0,42.857,53.968,3.175,63.0,40.323,58.065,1.613,62.0,C50,C44,B00,A05,0.269,0.442,0.25,0.214,0.614,0.157,366.0,96.17,125.0,1681.0,1675.0,1653.0
Schmusanne,I_Am_Cagnus_Marlsen,-1,24.0,75.0,1.0,100.0,1212.0,47.368,52.632,0.0,38.0,30.303,66.667,3.03,33.0,C23,C50,C55,A28,0.393,0.464,0.143,0.714,0.238,0.048,450.0,86.03,71.0,1284.0,1279.0,1273.0
Bfec01,Dallas_Golova,1,84.0,16.0,0.0,75.0,2194.0,45.455,54.545,0.0,22.0,38.889,50.0,11.111,18.0,B15,B44,B33,B15,0.294,0.529,0.176,0.571,0.381,0.048,428.0,70.76,40.0,2294.0,2286.0,2273.0
AAATM,keziah_timothy,1,45.0,52.0,3.0,100.0,1170.0,28.571,57.143,14.286,7.0,60.0,40.0,0.0,5.0,B00,B08,B00,C26,0.4,0.4,0.2,0.167,0.5,0.333,241.0,120.31,12.0,1181.0,1146.0,1140.0
Tukan0801,pakivito33,-1,42.0,55.0,3.0,100.0,1770.0,38.333,56.667,5.0,60.0,44.615,50.769,4.615,65.0,B28,A43,C64,B18,0.212,0.635,0.154,0.134,0.701,0.104,321.0,55.94,562.0,1954.0,1944.0,1942.0
Lily_cat,Altdrgon,-1,40.0,60.0,0.0,10.0,1500.0,14.754,85.246,0.0,61.0,14.062,84.375,1.562,64.0,C50,C44,A40,C67,0.556,0.333,0.056,0.085,0.434,0.443,432.0,110.85,489.0,1788.0,1750.0,1558.0
borya321,nasrrr,-1,38.0,56.0,5.0,100.0,1120.0,55.385,36.923,7.692,65.0,60.0,38.333,1.667,60.0,D00,A40,A04,A07,0.319,0.611,0.056,0.319,0.298,0.319,542.0,60.54,176.0,1323.0,1297.0,1250.0
GARZINNDHI,Zain830,-1,48.0,49.0,3.0,100.0,1323.0,33.333,64.912,1.754,57.0,33.824,64.706,1.471,68.0,C41,C20,C22,C25,0.19,0.595,0.167,0.111,0.333,0.519,495.0,77.51,325.0,1723.0,1679.0,1666.0
hoangthien1234,ahmetmertakin,1,44.0,52.0,4.0,100.0,1018.0,66.667,33.333,0.0,3.0,100.0,0.0,0.0,1.0,C78,D06,C78,D06,0.0,1.0,0.0,0.0,1.0,0.0,195.0,212.02,4.0,1073.0,1067.0,783.0
bohdsma,,401,0.0,0.0,0.0,0.0,1500.0,66.071,28.571,5.357,56.0,71.014,20.29,8.696,69.0,nonStandard,A00,A00,A40,0.953,0.047,0.0,0.5,0.233,0.267,124.0,77.72,14067.0,1903.0,1866.0,1865.0
timosuomesta,,401,0.0,0.0,0.0,0.0,1500.0,43.86,52.632,3.509,57.0,41.176,57.353,1.471,68.0,A40,C00,C20,D32,0.189,0.34,0.321,0.261,0.623,0.043,218.0,45.31,25198.0,2323.0,2279.0,2233.0
ZYRED_MORPHY,ulik1,1,34.0,63.0,3.0,100.0,1858.0,55.556,39.683,4.762,63.0,50.0,45.161,4.839,62.0,B10,B12,C41,B33,0.242,0.394,0.303,0.377,0.547,0.075,229.0,162.87,1080.0,1966.0,1940.0,1933.0
Igrochishka2,gig51600,1,45.0,50.0,5.0,100.0,2018.0,44.615,55.385,0.0,65.0,45.0,46.667,8.333,60.0,A06,B10,D04,B11,0.143,0.589,0.232,0.156,0.781,0.031,348.0,53.01,1478.0,2101.0,2092.0,2083.0
don232527,j-lP,1,45.0,49.0,6.0,100.0,1721.0,49.275,49.275,1.449,69.0,33.929,62.5,3.571,56.0,C41,A40,A22,A01,0.17,0.415,0.415,0.391,0.565,0.043,244.0,51.13,5527.0,1926.0,1912.0,1906.0
kid_Black,DonBee,-1,0.0,0.0,0.0,0.0,1233.0,53.226,45.161,1.613,62.0,34.921,61.905,3.175,63.0,D00,C40,D01,C25,0.109,0.345,0.545,0.597,0.254,0.075,241.0,97.6,6681.0,1269.0,1265.0,1258.0
DFreitasBrazil,Thundermusik,-1,53.0,46.0,1.0,100.0,1478.0,47.692,50.769,1.538,65.0,36.667,60.0,3.333,60.0,C50,C41,C46,C02,0.396,0.396,0.151,0.174,0.319,0.507,258.0,57.66,207.0,1766.0,1721.0,1718.0
srchess_15,Ayomide_17,-1,44.0,54.0,2.0,100.0,825.0,27.273,63.636,9.091,11.0,21.429,78.571,0.0,14.0,C20,C40,C46,B00,0.667,0.0,0.333,0.222,0.667,0.111,275.0,120.65,25.0,0.0,0.0,0.0
SashaOsp,Davincho_AG,1,56.0,43.0,1.0,100.0,1282.0,50.0,42.424,7.576,66.0,55.932,40.678,3.39,59.0,B00,nonStandard,A01,A00,0.258,0.364,0.348,0.365,0.519,0.115,247.0,58.01,634.0,2222.0,2200.0,2153.0
Efdeha11,mahdiassaf7,-1,0.0,100.0,0.0,6.0,1743.0,50.0,43.548,6.452,62.0,49.206,49.206,1.587,63.0,C50,C00,C48,D02,0.21,0.532,0.242,0.138,0.569,0.293,250.0,52.43,7053.0,1943.0,1866.0,1830.0
Mahmoud_has,NxTprime1,-1,51.0,45.0,4.0,100.0,1491.0,58.065,35.484,6.452,62.0,49.206,47.619,3.175,63.0,C50,D00,C28,C53,0.284,0.522,0.179,0.096,0.673,0.212,404.0,46.53,2101.0,1547.0,1508.0,1504.0
w4tt,HighestHornet,-1,16.0,75.0,8.0,72.0,681.0,29.31,70.69,0.0,58.0,40.299,56.716,2.985,67.0,D00,A40,D06,A46,0.386,0.318,0.205,0.241,0.646,0.089,266.0,84.75,490.0,1894.0,1439.0,1393.0
Lijo_kerala,laban_s,-1,59.0,35.0,6.0,100.0,2096.0,54.098,42.623,3.279,61.0,48.438,46.875,4.688,64.0,A00,C44,A40,C30,0.312,0.297,0.328,0.214,0.536,0.232,235.0,48.8,1050.0,2273.0,2228.0,2221.0
