user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
JesusQuispe,38.0,50.0,11.0,54.0,1887.0,1880-1899,58.462,35.385,6.154,65.0,48.333,46.667,5.0,60.0,C25,B01,C62,A00,0.284,0.373,0.343,0.255,0.569,0.137,243.0
TomRipple,0.0,100.0,0.0,6.0,2034.0,2020-2039,62.121,37.879,0.0,66.0,38.983,57.627,3.39,59.0,A00,B06,E73,E61,0.203,0.406,0.375,0.407,0.492,0.102,263.0
tritonyeah666,42.0,51.0,7.0,100.0,650.0,640-659,44.444,50.794,4.762,63.0,43.548,50.0,6.452,62.0,C20,C47,A45,C00,0.309,0.218,0.418,0.476,0.349,0.095,316.0
Igor_and_Shishikin,75.0,0.0,25.0,12.0,1843.0,1840-1859,45.161,48.387,6.452,62.0,53.968,41.27,4.762,63.0,B10,B12,D10,B06,0.129,0.565,0.29,0.446,0.393,0.125,344.0
Polynaikes,32.0,65.0,3.0,100.0,1567.0,1560-1579,52.941,42.647,4.412,68.0,42.105,54.386,3.509,57.0,D00,A40,D20,D15,0.333,0.433,0.217,0.1,0.217,0.683,393.0
boulziboulz,51.0,42.0,7.0,100.0,1772.0,1760-1779,54.688,40.625,4.688,64.0,47.541,44.262,8.197,61.0,C00,C45,A04,C07,0.172,0.625,0.156,0.189,0.736,0.075,336.0
brianheno,49.0,48.0,3.0,100.0,1366.0,1360-1379,49.18,49.18,1.639,61.0,48.438,48.438,3.125,64.0,B10,A40,B17,D13,0.279,0.639,0.082,0.148,0.689,0.164,480.0
Wolkhard,49.0,46.0,5.0,100.0,1738.0,1720-1739,46.774,50.0,3.226,62.0,42.857,53.968,3.175,63.0,C50,C44,C42,C54,0.179,0.625,0.196,0.154,0.631,0.215,554.0
Groowl,51.0,49.0,0.0,100.0,1021.0,1020-1039,54.545,40.909,4.545,66.0,49.153,50.847,0.0,59.0,B00,C25,C02,B22,0.338,0.462,0.138,0.088,0.544,0.368,511.0
Hummer707,0.0,100.0,0.0,9.0,1108.0,1100-1119,36.667,63.333,0.0,30.0,21.429,67.857,10.714,28.0,C50,B20,B27,C47,0.294,0.471,0.235,0.211,0.684,0.079,214.0
Moe_dian,48.0,51.0,1.0,100.0,1318.0,1300-1319,45.902,52.459,1.639,61.0,57.812,40.625,1.562,64.0,C34,C41,A03,C36,0.415,0.385,0.2,0.121,0.69,0.172,216.0
scottfine,54.0,41.0,5.0,100.0,1744.0,1740-1759,48.438,48.438,3.125,64.0,37.705,59.016,3.279,61.0,B27,B20,C00,A01,0.148,0.685,0.13,0.045,0.836,0.104,518.0
chessmayhem4,0.0,100.0,0.0,1.0,1059.0,1040-1059,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,A20,,A20,,0.0,0.0,0.0,1.0,0.0,0.0,142.0
Tandar_best,100.0,0.0,0.0,1.0,1720.0,1700-1719,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C46,,C46,,0.0,0.0,1.0,0.0,0.0,0.0,345.0
Alex13_2,0.0,100.0,0.0,6.0,1068.0,1060-1079,50.0,50.0,0.0,2.0,0.0,100.0,0.0,2.0,C44,C41,C41,C44,0.0,0.0,1.0,0.333,0.667,0.0,442.0
silvio1975,55.0,25.0,20.0,60.0,1734.0,1720-1739,50.82,40.984,8.197,61.0,50.0,42.188,7.812,64.0,C00,C02,B12,C10,0.159,0.508,0.286,0.096,0.75,0.135,247.0
gigiproiettili1,47.0,51.0,2.0,100.0,830.0,820-839,49.206,49.206,1.587,63.0,43.548,54.839,1.613,62.0,B10,C34,C50,C00,0.31,0.431,0.138,0.046,0.708,0.108,321.0
Cahuba,51.0,45.0,4.0,100.0,1494.0,1480-1499,50.0,48.438,1.562,64.0,45.902,54.098,0.0,61.0,B00,D00,A45,C17,0.3,0.6,0.05,0.094,0.625,0.234,538.0
macaque_i,28.0,71.0,0.0,100.0,1065.0,1060-1079,41.27,55.556,3.175,63.0,37.097,59.677,3.226,62.0,A40,C41,D30,C62,0.408,0.49,0.041,0.125,0.306,0.542,403.0
LaFuria,43.0,54.0,3.0,100.0,1957.0,1940-1959,56.25,34.375,9.375,64.0,47.541,47.541,4.918,61.0,A15,A30,nonStandard,A36,0.308,0.354,0.292,0.392,0.51,0.098,264.0
ArsalaLev,43.0,56.0,0.0,48.0,1123.0,1120-1139,53.03,45.455,1.515,66.0,49.153,49.153,1.695,59.0,C20,C41,D31,C01,0.266,0.438,0.281,0.017,0.492,0.441,337.0
