user_op,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max
sj1900,0.0,11.0,1.0,12.0
championdelperu,10.0,17.0,0.0,5.0
World-Loser,1.0,18.0,0.0,11.0
POLICE_BKD,2.0,9.0,0.0,6.0
comebacker8,0.0,14.0,1.0,5.0
thejugert,0.0,16.0,2.0,15.0
zielepitt,2.0,11.0,0.0,10.0
kamoujules1983,2.0,21.0,0.0,10.0
tiger198082,0.0,11.0,1.0,9.0
mikeysufc,0.0,12.0,1.0,13.0
plcinsa,0.0,14.0,7.0,9.0
BengalSpook,0.0,5.0,2.0,9.0
gross1975,1.0,13.0,0.0,11.0
An2atolich,0.0,9.0,1.0,5.0
OSMOAS,2.0,9.0,0.0,7.0
fabio62,0.0,13.0,3.0,36.0
derekmanos,0.0,20.0,1.0,5.0
tirador2023,0.0,16.0,2.0,13.0
bb00715,2.0,7.0,0.0,9.0
liondehierro,1.0,18.0,0.0,10.0
miguelsanchez65,2.0,15.0,0.0,12.0
SCZLIBRE,1.0,11.0,0.0,24.0
Ch1llax,0.0,20.0,1.0,7.0
Hamdi85Alagori,0.0,12.0,7.0,13.0
nickporter3,0.0,10.0,1.0,13.0
dontlaf,2.0,5.0,0.0,7.0
Imran30,0.0,16.0,4.0,11.0
ehyer10061006,0.0,4.0,2.0,8.0
mary_m03,0.0,3.0,6.0,6.0
judineptune,2.0,18.0,0.0,14.0
Zotpaard,8.0,14.0,0.0,7.0
mastermige,0.0,12.0,2.0,10.0
Joven_jubilado,0.0,10.0,4.0,11.0
KamranShirazi,0.0,22.0,2.0,19.0
EgorDubrovin,3.0,11.0,0.0,16.0
schachkasper64,5.0,13.0,0.0,10.0
Volfas,1.0,9.0,0.0,11.0
blkn2,0.0,4.0,1.0,7.0
Georgastic,0.0,10.0,0.0,11.0
CB_Paiva,0.0,7.0,0.0,9.0
MainCatur01,0.0,10.0,1.0,12.0
TheeMatFather,0.0,3.0,6.0,6.0
Sicilian101,0.0,22.0,0.0,12.0
mvm55,0.0,12.0,2.0,11.0
Nikola011,1.0,7.0,0.0,6.0
Kilju66,1.0,10.0,0.0,10.0
riddhi210314,0.0,11.0,3.0,10.0
pierog1988,2.0,10.0,0.0,8.0
chesszxj,0.0,34.0,0.0,9.0
fauveard,5.0,15.0,0.0,18.0
leqs4747,0.0,4.0,1.0,20.0
veritoneg,3.0,10.0,0.0,17.0
Dekas16,0.0,13.0,1.0,10.0
MrChessMen,0.0,26.0,1.0,9.0
VEERMANI,0.0,14.0,6.0,16.0
JLPierre-Chatel,2.0,14.0,0.0,11.0
mogwai23,0.0,11.0,8.0,10.0
ELDOUH,1.0,14.0,0.0,11.0
Marcoantonio1919,0.0,23.0,1.0,25.0
Carlossmopa,1.0,6.0,0.0,15.0
varujan1,0.0,4.0,1.0,19.0
norinori02,1.0,6.0,0.0,8.0
LavishChess,0.0,10.0,1.0,7.0
neemaa,4.0,11.0,0.0,12.0
JokerMunz27CUU,3.0,5.0,0.0,9.0
Chad87,0.0,9.0,1.0,7.0
yehya2828,0.0,13.0,2.0,10.0
ShadowKing78,1.0,13.0,0.0,5.0
Isco95,1.0,16.0,0.0,6.0
Estivella,0.0,15.0,0.0,10.0
iguesso,2.0,12.0,0.0,11.0
K4rkLive,0.0,20.0,1.0,7.0
EventHorizonNeptune,1.0,16.0,0.0,16.0
lightfire8888,0.0,9.0,2.0,6.0
Giuseppe1954,1.0,16.0,0.0,13.0
Vaz_7,0.0,12.0,1.0,4.0
Arrea,1.0,7.0,0.0,6.0
Jossi247,0.0,10.0,1.0,10.0
SilentDeath07,1.0,16.0,0.0,10.0
JUANdcb,0.0,0.0,0.0,0.0
RickTargaryen,1.0,13.0,0.0,9.0
bombardiertraxx,4.0,11.0,0.0,8.0
Alessandro_98,0.0,8.0,3.0,11.0
bg14,0.0,12.0,1.0,10.0
bozkunduz,0.0,11.0,0.0,12.0
Polomoche,0.0,13.0,0.0,14.0
DiegoVicencio,,,,
Homely_Hamster,1.0,13.0,0.0,4.0
Xavielson,0.0,14.0,0.0,13.0
hardestplayer1234,,,,
spartasoldier,0.0,15.0,5.0,9.0
Asni_ckd,5.0,14.0,0.0,13.0
ProfeAlfredo,0.0,9.0,3.0,7.0
AM0R_FATI,0.0,9.0,1.0,9.0
mbo2101,1.0,17.0,0.0,11.0
repsol415,2.0,2.0,0.0,2.0
thehenryg1,0.0,1.0,1.0,1.0
BrandoliniChess,2.0,18.0,0.0,10.0
first_step_nm,4.0,12.0,0.0,11.0
bsmail,1.0,24.0,0.0,12.0
BatuChs,0.0,2.0,2.0,4.0
mazinoov,1.0,8.0,0.0,11.0
helmerfudd,2.0,11.0,0.0,12.0
landy887,3.0,14.0,0.0,10.0
stanschlae,0.0,16.0,1.0,11.0
alexa01123,6.0,13.0,0.0,9.0
tomikhatulistiwa,0.0,11.0,1.0,11.0
Lebed1974,0.0,3.0,1.0,2.0
Reiluis,0.0,13.0,2.0,16.0
MOD2Y,0.0,0.0,0.0,0.0
filmer75,1.0,18.0,0.0,16.0
Opabinia,2.0,9.0,0.0,6.0
E4SattCHESS,0.0,5.0,1.0,8.0
UY_Scuti_V12-V12-A5,4.0,13.0,0.0,5.0
uurdem36,2.0,15.0,0.0,12.0
Juliolopez77,0.0,9.0,1.0,11.0
Polarq,1.0,8.0,0.0,8.0
Safilent,0.0,5.0,4.0,12.0
Hah1mat,0.0,11.0,1.0,7.0
zangebismefe02,0.0,0.0,0.0,0.0
berribalxadrez,1.0,8.0,0.0,4.0
astonmartin007,5.0,50.0,0.0,6.0
AGG2020,0.0,29.0,1.0,8.0
EgorVadov,0.0,14.0,1.0,12.0
Artuj,6.0,8.0,0.0,9.0
to7m,3.0,9.0,0.0,8.0
nick_chubb,1.0,11.0,0.0,7.0
Wlewo,0.0,14.0,3.0,13.0
Juwillose,2.0,5.0,0.0,3.0
italian5,0.0,29.0,0.0,12.0
Olivier237,2.0,9.0,0.0,9.0
BAJOPERFIL,0.0,16.0,1.0,15.0
BeBee1,5.0,7.0,0.0,10.0
PRADEUS,0.0,13.0,0.0,5.0
Veganfloyd,0.0,13.0,1.0,15.0
romerojex,1.0,7.0,0.0,6.0
Kristian-G,0.0,11.0,2.0,8.0
wandale,0.0,7.0,1.0,10.0
JaqueSL,1.0,13.0,0.0,12.0
error1994,1.0,10.0,0.0,14.0
SybrenJ,3.0,11.0,0.0,11.0
alex_insulin,0.0,8.0,1.0,13.0
antoniolbs,1.0,9.0,0.0,11.0
AntonSerebryakov,3.0,4.0,0.0,4.0
Davidcarpediem,0.0,13.0,2.0,10.0
maia1,0.0,37.0,1.0,28.0
Nad3z,1.0,14.0,0.0,7.0
MySnakeDoc,1.0,29.0,0.0,8.0
mehrsa2017,0.0,3.0,3.0,7.0
waxq666,0.0,11.0,0.0,3.0
judoca77,0.0,11.0,3.0,24.0
mauricioaravena1989,0.0,9.0,0.0,7.0
UnBazat,1.0,9.0,0.0,11.0
JoaoVLeite01,2.0,10.0,0.0,11.0
AIDAZEMLIANOVA,0.0,0.0,1.0,5.0
desahogarse,1.0,12.0,0.0,13.0
nothing_new34,0.0,4.0,3.0,3.0
cheluskin03,2.0,11.0,0.0,7.0
darkhan76,0.0,3.0,10.0,15.0
AxelMS,1.0,6.0,0.0,3.0
martineki,0.0,7.0,1.0,7.0
LeonidSmirnov,4.0,16.0,0.0,10.0
sar2007,0.0,13.0,2.0,6.0
Maxwellbrot,1.0,9.0,0.0,13.0
hacheg,0.0,19.0,2.0,12.0
dims1990,1.0,10.0,0.0,11.0
M-DeVerdier,1.0,10.0,0.0,12.0
Shyam007rock,0.0,9.0,2.0,10.0
Crazy_Alchemist,0.0,10.0,2.0,9.0
vamosss,0.0,11.0,1.0,10.0
GuilhermeWSF,0.0,11.0,2.0,7.0
FryedChess,0.0,0.0,0.0,0.0
Quaradan,4.0,13.0,0.0,12.0
Ben_dm,2.0,7.0,0.0,5.0
