user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_op,game_result,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
trik1,1570.0,51.0,44.0,5.0,100.0,49.01960784313725,49.01960784313725,1.96078431372549,51.0,45.05,MMAARR,-1,45.04,43.0,49.0,8.0,100.0
maugli_nn1,1306.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,291.64,BingoBongo654,-1,500.0,0.0,0.0,0.0,0.0
alexanderschevtzov,1669.0,54.0,44.0,2.0,100.0,46.93877551020408,48.97959183673469,4.081632653061225,49.0,45.05,JMIG12,-1,45.05,42.0,51.0,7.0,100.0
Bantiali,1612.0,100.0,0.0,0.0,9.0,54.71698113207547,43.39622641509434,1.8867924528301887,53.0,80.54,rtonge,-1,104.33,0.0,0.0,0.0,0.0
yastrebov88,1521.0,49.0,47.0,4.0,100.0,52.83018867924528,39.62264150943396,7.547169811320755,53.0,45.04,PMw91,0,45.02,48.0,47.0,5.0,100.0
Jacobsen2014,1798.0,75.0,25.0,0.0,24.0,43.47826086956522,52.17391304347826,4.3478260869565215,46.0,66.99,MikhailNina,-1,45.12,42.0,54.0,4.0,100.0
Piyushjaindp,1572.0,46.0,50.0,4.0,100.0,40.0,54.0,6.0,50.0,45.04,prashant190,-1,45.04,45.0,49.0,6.0,100.0
MatteSte,1578.0,50.0,49.0,1.0,100.0,50.98039215686274,49.01960784313725,0.0,51.0,45.02,reactor,-1,45.0,54.0,46.0,0.0,100.0
SFnZA7,1437.0,37.0,62.0,0.0,27.0,35.714285714285715,64.28571428571429,0.0,14.0,68.84,Zahid4you,-1,78.95,29.0,66.0,4.0,24.0
gustavoirusta,1625.0,48.0,49.0,3.0,100.0,38.775510204081634,57.14285714285714,4.081632653061225,49.0,45.07,Anderlaine,1,45.06,56.0,37.0,7.0,100.0
Mikal-BR,1655.0,46.0,50.0,4.0,100.0,47.05882352941176,50.98039215686274,1.96078431372549,51.0,45.23,LetsFairPlay,1,45.05,52.0,44.0,4.0,100.0
Teren554,1545.0,40.0,55.0,5.0,100.0,38.775510204081634,53.06122448979592,8.16326530612245,49.0,45.0,isibolo,1,45.04,48.0,47.0,5.0,100.0
Chicharito9,1609.0,45.0,52.0,3.0,100.0,46.0,52.0,2.0,50.0,45.01,Leonidxarz,-1,45.03,38.0,56.0,6.0,100.0
davit-87,1514.0,46.0,53.0,1.0,100.0,37.25490196078432,62.74509803921568,0.0,51.0,45.06,noureev,1,45.13,48.0,45.0,6.0,99.0
Drmenten_1205,1572.0,41.0,52.0,7.0,100.0,42.0,50.0,8.0,50.0,45.29,Almador,-1,49.84,38.0,57.0,3.0,52.0
loshka_varenya,1479.0,55.0,41.0,4.0,100.0,56.00000000000001,40.0,4.0,50.0,0.0,ammasrsly,1,45.13,49.0,46.0,5.0,100.0
americanchess1,1584.0,53.0,44.0,3.0,100.0,58.82352941176471,37.25490196078432,3.92156862745098,51.0,0.0,meihanking,-1,45.06,48.0,47.0,5.0,100.0
VILLENEUVA,1476.0,52.0,46.0,2.0,100.0,52.94117647058824,45.09803921568628,1.96078431372549,51.0,45.03,Crash_Attacker93,1,45.29,54.0,44.0,2.0,100.0
superchango99,1623.0,44.0,53.0,3.0,100.0,46.0,52.0,2.0,50.0,45.08,Tathanluna0803,1,45.05,53.0,42.0,3.0,84.0
PessoaZ,1544.0,50.0,50.0,0.0,100.0,34.61538461538461,63.46153846153846,1.9230769230769231,52.0,45.01,CATURWULAN4,-1,45.04,45.0,53.0,2.0,100.0
sivapl,1400.0,0.0,100.0,0.0,6.0,48.07692307692308,51.92307692307693,0.0,52.0,90.07,Anar1790,-1,79.12,0.0,0.0,0.0,0.0
Prince69,1562.0,51.0,47.0,2.0,100.0,50.98039215686274,43.13725490196079,5.88235294117647,51.0,45.09,andrecambota,1,45.09,47.0,51.0,2.0,100.0
cusoch,1545.0,54.0,43.0,3.0,100.0,50.98039215686274,45.09803921568628,3.92156862745098,51.0,45.16,gambitflopper,-1,45.0,44.0,54.0,2.0,100.0
Merve1761,1387.0,50.0,45.0,5.0,100.0,42.30769230769231,51.92307692307693,5.769230769230769,52.0,45.21,angelm-ajedrez,-1,88.5,46.0,50.0,4.0,100.0
Vishalsingh_221B,1600.0,50.0,46.0,4.0,100.0,52.0,44.0,4.0,50.0,45.03,Astocles,-1,45.16,53.0,43.0,4.0,100.0
lutch,1396.0,47.0,52.0,1.0,100.0,32.69230769230769,67.3076923076923,0.0,52.0,45.01,Anton_MR,-1,77.64,41.0,56.0,2.0,100.0
handsomevicz,1595.0,53.0,44.0,3.0,100.0,53.06122448979592,42.85714285714285,4.081632653061225,49.0,45.18,atomicwarcrimes,-1,48.81,52.0,45.0,3.0,100.0
Cocodomi63,1517.0,48.0,49.0,3.0,100.0,56.86274509803921,41.17647058823529,1.96078431372549,51.0,45.0,Vector_jaat,1,45.09,48.0,43.0,9.0,100.0
Mantonio1976,1506.0,47.0,47.0,6.0,100.0,35.41666666666667,58.333333333333336,6.25,48.0,45.01,SubterrAlien,-1,45.03,48.0,51.0,1.0,100.0
tiagofs09,1574.0,56.0,44.0,0.0,100.0,55.76923076923077,44.230769230769226,0.0,52.0,45.02,nvlachos,-1,45.11,47.0,47.0,6.0,100.0
Just_Anything,1467.0,46.0,48.0,6.0,100.0,40.0,52.72727272727272,7.272727272727272,55.0,45.05,lucyy_fantasma,-1,53.05,47.0,53.0,0.0,100.0
Anilkumar217,1567.0,59.0,33.0,8.0,100.0,54.0,38.0,8.0,50.0,45.9,blunder_gal,1,45.0,44.0,50.0,6.0,100.0
bernardohg,1711.0,48.0,51.0,0.0,99.0,39.58333333333333,56.25,4.166666666666666,48.0,45.01,KBIndian14,-1,46.02,28.0,64.0,7.0,100.0
