user_id,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max
jechumizx,0.0,8.0,1.0,5.0
Albert_Einstein_12,0.0,12.0,1.0,11.0
hammer_of_destiny,1.0,10.0,0.0,11.0
popfhv,0.0,1.0,1.0,1.0
YOURSISTERBOYFRIEND,1.0,10.0,0.0,12.0
KawaiBullet,5.0,8.0,0.0,31.0
Grandayo,1.0,10.0,0.0,10.0
papabadboy,0.0,8.0,6.0,9.0
podiumthief,0.0,5.0,1.0,3.0
BryanBedoyaArrubla08,0.0,5.0,1.0,4.0
Wolfi71,2.0,11.0,0.0,10.0
Maxp1974,1.0,13.0,0.0,12.0
Maxim_lu,3.0,9.0,0.0,8.0
jaychole,3.0,10.0,0.0,17.0
bermudaox,3.0,12.0,0.0,7.0
zeitGuy,1.0,8.0,0.0,7.0
A7968801,0.0,9.0,3.0,12.0
Aleksandr_1957,2.0,10.0,0.0,12.0
obraad,0.0,8.0,1.0,11.0
OriaMike,0.0,18.0,1.0,5.0
Abchife,0.0,14.0,6.0,14.0
hoslo,1.0,10.0,0.0,30.0
arazhuseynov,4.0,15.0,0.0,12.0
vietan0,3.0,5.0,0.0,5.0
BlackJaguar0,0.0,5.0,7.0,7.0
Sonnenscheinender,0.0,11.0,1.0,14.0
radu25,3.0,8.0,0.0,11.0
Impu1se1,0.0,4.0,1.0,5.0
AmeerIsmael_Lazo,0.0,9.0,1.0,9.0
Raehgalchess,1.0,6.0,0.0,4.0
Granny-Bmmy123,5.0,12.0,0.0,12.0
KnightChrks,0.0,6.0,1.0,11.0
othmanaloide2,0.0,0.0,0.0,0.0
UyV,0.0,11.0,4.0,11.0
Franek369,0.0,13.0,7.0,16.0
Dimaslon-13,0.0,4.0,2.0,15.0
sky-destiny,0.0,7.0,0.0,10.0
Luca363636,2.0,11.0,0.0,14.0
tenine,0.0,11.0,1.0,12.0
maxb1959,2.0,12.0,0.0,12.0
Zukulus,0.0,11.0,2.0,12.0
SamBott67,1.0,11.0,0.0,11.0
RealMortreD,0.0,5.0,2.0,3.0
Zatluanga,1.0,12.0,0.0,10.0
HorstReicht,1.0,14.0,0.0,15.0
RemyGonzales12,0.0,8.0,3.0,8.0
DarkPatate,2.0,6.0,0.0,7.0
Jakeh18,0.0,12.0,1.0,10.0
IgorRogozin,2.0,9.0,0.0,10.0
hossein_qanbari,0.0,10.0,1.0,23.0
liufi,2.0,9.0,0.0,12.0
Wonderboof,2.0,12.0,0.0,13.0
Tsudago,1.0,10.0,0.0,8.0
makiavelli2011,3.0,11.0,0.0,13.0
doctorjpizzle,0.0,10.0,2.0,7.0
lukas_schmoigl,1.0,9.0,0.0,12.0
tchegalo,1.0,9.0,0.0,9.0
olivertwisted,0.0,8.0,1.0,31.0
kevin_vr13,2.0,3.0,0.0,2.0
JaqueMother,0.0,10.0,2.0,7.0
amirh12,5.0,7.0,0.0,6.0
A32miller,0.0,12.0,2.0,9.0
chesskiller_23,0.0,7.0,1.0,17.0
Svileni49,1.0,9.0,0.0,7.0
ufftauba,0.0,12.0,1.0,11.0
ryzman17,0.0,8.0,2.0,11.0
Zamasu_14,0.0,8.0,1.0,9.0
isac_J,2.0,2.0,0.0,4.0
leonel_de_freitas9,0.0,2.0,1.0,3.0
CesarS96,0.0,12.0,3.0,13.0
corle007,0.0,12.0,2.0,14.0
dfczcv,0.0,12.0,1.0,11.0
StefanoApi,0.0,0.0,0.0,0.0
DaviOliv3ra,1.0,17.0,0.0,4.0
Gabrielorjikalu,0.0,11.0,1.0,17.0
Aizac336,0.0,14.0,2.0,6.0
Fedwhisk,3.0,10.0,0.0,12.0
Mataberk,2.0,7.0,0.0,7.0
Bhuvikaarora,1.0,8.0,0.0,8.0
johnd_gomez,0.0,10.0,1.0,9.0
Darmol_XXX,0.0,0.0,0.0,0.0
Logiciels3655,2.0,5.0,0.0,5.0
happyrajesh,0.0,15.0,2.0,12.0
Noonlight,0.0,15.0,3.0,13.0
vitek_fft,0.0,11.0,2.0,14.0
woleit,0.0,12.0,2.0,10.0
Monarca_Chess,2.0,10.0,0.0,11.0
MusicalHumorouspawn,0.0,6.0,3.0,5.0
tryingSomeMoves,9.0,10.0,0.0,10.0
HydroOwl,1.0,12.0,0.0,13.0
KingRichd_3rd,1.0,12.0,0.0,10.0
