user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,user_white_win_rate,user_white_lose_rate,user_white_draw_rate,user_white_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_top_eco,user_second_eco,user_top_winrate_eco,user_second_winrate_eco,user_mate_winrate,user_resign_winrate,user_time_winrate,user_mate_lossrate,user_resign_lossrate,user_time_lossrate,user_average_game_len,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3,game_result,is_blitz
achrafSaifDine,55.0,42.0,3.0,100.0,1024.0,1020-1039,48.387,50.0,1.613,62.0,44.444,50.794,4.762,63.0,B01,D00,C62,C65,0.345,0.259,0.293,0.127,0.079,0.762,269.0,45.16,1223.0,1230.0,1190.0,1190.0,labalsa-Chess,50.0,49.0,1.0,100.0,1070.0,46.774,51.613,1.613,62.0,46.032,53.968,0.0,63.0,D00,A40,A41,A13,0.483,0.31,0.19,0.061,0.212,0.727,287.0,45.26,2502.0,1353.0,1341.0,1330.0,-1,1
ReneGutie78,48.0,47.0,5.0,100.0,1765.0,1760-1779,56.452,41.935,1.613,62.0,42.857,50.794,6.349,63.0,B00,B01,C00,C47,0.194,0.355,0.452,0.5,0.207,0.241,260.0,47.94,6774.0,1913.0,1908.0,1902.0,CHAMM,48.0,50.0,2.0,100.0,1765.0,51.613,46.774,1.613,62.0,46.032,50.794,3.175,63.0,C41,B01,C02,B40,0.246,0.426,0.295,0.262,0.443,0.23,266.0,46.72,4846.0,2535.0,2379.0,2045.0,-1,1
HAIKOUL,48.0,51.0,1.0,100.0,1909.0,1900-1919,46.032,52.381,1.587,63.0,50.0,46.774,3.226,62.0,A06,A00,B40,D05,0.4,0.433,0.15,0.258,0.161,0.581,265.0,45.12,14922.0,2196.0,2189.0,2175.0,amsnl,44.0,51.0,5.0,100.0,1924.0,54.098,42.623,3.279,61.0,53.125,39.062,7.812,64.0,A40,D00,C44,C57,0.104,0.493,0.388,0.333,0.431,0.176,266.0,45.26,4641.0,2231.0,2205.0,2202.0,1,1
w_sct,51.0,42.0,7.0,100.0,1931.0,1920-1939,38.095,50.794,11.111,63.0,50.0,41.935,8.065,62.0,A16,B10,A20,A00,0.145,0.582,0.255,0.103,0.224,0.672,428.0,45.04,3666.0,2178.0,2158.0,2146.0,Radomir-m,46.0,49.0,5.0,100.0,1922.0,66.129,33.871,0.0,62.0,28.571,60.317,11.111,63.0,B32,A40,D46,A46,0.22,0.593,0.186,0.186,0.678,0.136,397.0,45.56,371.0,2147.0,2081.0,2066.0,1,1
farouk2021,43.0,53.0,4.0,100.0,1958.0,1940-1959,50.0,45.161,4.839,62.0,39.683,53.968,6.349,63.0,D00,C41,A10,B12,0.25,0.482,0.268,0.242,0.71,0.016,384.0,45.0,5042.0,2264.0,2210.0,2125.0,Nata_CVX,53.0,40.0,7.0,100.0,2052.0,41.935,51.613,6.452,62.0,61.905,34.921,3.175,63.0,B20,B01,A00,B51,0.292,0.523,0.138,0.185,0.537,0.278,394.0,45.01,492.0,2139.0,2135.0,2134.0,1,1
Pk555pk,39.0,59.0,2.0,100.0,1146.0,1140-1159,41.27,57.143,1.587,63.0,40.323,56.452,3.226,62.0,A00,C00,A00,C00,0.294,0.353,0.333,0.423,0.211,0.282,391.0,52.82,258.0,1575.0,1448.0,1424.0,lwendigol,50.0,47.0,3.0,100.0,1130.0,54.098,42.623,3.279,61.0,50.0,46.875,3.125,64.0,C44,C20,C48,A41,0.4,0.246,0.292,0.214,0.5,0.286,377.0,45.75,415.0,1736.0,1662.0,1593.0,1,1
LUNPTROM,44.0,48.0,8.0,100.0,1619.0,1600-1619,47.619,44.444,7.937,63.0,54.839,41.935,3.226,62.0,A20,A10,A01,A46,0.25,0.422,0.328,0.222,0.593,0.019,215.0,84.78,217.0,1739.0,1713.0,1707.0,d27david,47.0,50.0,3.0,100.0,1558.0,46.032,52.381,1.587,63.0,45.161,51.613,3.226,62.0,C42,C44,C43,A00,0.246,0.509,0.193,0.215,0.538,0.246,256.0,45.05,11296.0,1813.0,1785.0,1768.0,1,1
aMk777,43.0,54.0,3.0,100.0,1325.0,1320-1339,46.154,52.308,1.538,65.0,50.0,45.0,5.0,60.0,C41,A40,A01,C23,0.267,0.417,0.217,0.393,0.18,0.426,280.0,45.09,913.0,1658.0,1631.0,1571.0,bearbrother,49.0,48.0,3.0,100.0,1478.0,39.344,55.738,4.918,61.0,56.25,43.75,0.0,64.0,B01,C50,D01,B20,0.4,0.35,0.167,0.145,0.758,0.097,290.0,45.41,8598.0,2315.0,2203.0,2166.0,-1,1
vitte55flavio,45.0,52.0,3.0,100.0,1335.0,1320-1339,44.444,53.968,1.587,63.0,50.0,45.161,4.839,62.0,C41,C20,A51,B10,0.322,0.475,0.203,0.161,0.677,0.048,472.0,63.69,604.0,1551.0,1540.0,1513.0,aassddffgg978,47.0,52.0,1.0,100.0,1359.0,53.125,43.75,3.125,64.0,39.344,60.656,0.0,61.0,C00,C44,A00,B32,0.276,0.552,0.138,0.231,0.554,0.108,498.0,45.4,773.0,1467.0,1465.0,1464.0,-1,1
Elkalashy123,40.0,53.0,7.0,100.0,1699.0,1680-1699,41.935,50.0,8.065,62.0,46.032,47.619,6.349,63.0,A04,A07,B32,C00,0.273,0.527,0.2,0.246,0.525,0.213,259.0,45.25,4881.0,2102.0,2088.0,2024.0,Dss89,41.0,54.0,5.0,100.0,1659.0,48.438,46.875,4.688,64.0,39.344,57.377,3.279,61.0,C23,B20,A01,D31,0.182,0.418,0.4,0.508,0.431,0.046,231.0,45.64,20541.0,1890.0,1890.0,1884.0,-1,1
chaotic_chess,56.0,35.0,9.0,100.0,2439.0,2420-2439,57.576,31.818,10.606,66.0,52.542,35.593,11.864,59.0,A45,D00,E98,B12,0.159,0.522,0.319,0.095,0.714,0.119,299.0,77.7,1514.0,2606.0,2552.0,2549.0,EliteSG,56.0,38.0,5.0,100.0,2401.0,56.452,43.548,0.0,62.0,44.444,44.444,11.111,63.0,B12,D02,A15,E11,0.127,0.365,0.508,0.145,0.582,0.273,304.0,45.79,1247.0,2679.0,2590.0,2536.0,-1,1
bonyohr,48.0,51.0,1.0,100.0,1835.0,1820-1839,52.381,46.032,1.587,63.0,46.774,53.226,0.0,62.0,B21,B10,A17,D02,0.145,0.565,0.274,0.081,0.742,0.177,373.0,45.72,11743.0,2059.0,2055.0,2042.0,Ruvim1951,43.0,46.0,11.0,100.0,1885.0,46.032,44.444,9.524,63.0,50.0,41.935,8.065,62.0,B21,C00,D02,C69,0.167,0.517,0.317,0.185,0.593,0.204,402.0,45.05,4088.0,2093.0,2065.0,2060.0,1,1
