user_id,is_blitz
BobbyBlunders3,1
bigbro642,1
Bogdan_Ragovic,1
rachidbougayou,1
TeacherRamirez,1
greenchim,1
marinedepr,1
lucprda,1
john_N_8,1
skufidonchik,1
Lopol2010,1
Suryadarma_76,1
enriquetask,1
Creativeseun,1
Alexander4308,1
luizfilipefialho,1
Yamen_Mahmoud55,1
Suhruth9,1
Miguelsalas10,1
JudoChessG,1
chesspatzer2024,1
Econ0mist,1
chinh386,1
maud3n3,1
DomingosSambapito,1
Franca69,1
Ritap,1
ljumark,1
anikinal,1
mirakurik,1
LaLiebre21,1
swimbeside,1
ajayvxrma,1
Satya_S,1
serge31931,1
Mo_salah2022,1
Rexa1011,1
lSaber23,1
Emily_philidor0102,1
Loski1989,1
o_cann,1
Toxa_61_rus,1
elretador,1
MrMaks16,1
Javier-ooooo,1
Iman13,1
sakathor,1
First_Horseman,1
Levadi,1
Mosek,1
MarcCham,1
alkar91,1
Prul1979,1
mattyogi,1
Goldiesmarty,1
Ggus12,1
mkgobhe,1
piroarya,1
bodensee61,1
AlexBo_2016,1
Riskshield,1
zxcerd,1
gupta_sk,1
Nina_Sok,1
ERYSEL,1
Abdelsalam3,1
Ruzanoviv,1
Roughpuff,1
lildojdik,1
w4lt3r,1
Cesarbal123,1
Drugpisi2009,1
MexilSol,1
milotock,1
Kichatov_1,1
bluenemesis,1
francoisnuc,1
mustafahashi,1
Geert_Stradmeijer,1
d81224162283,1
atorii,1
havirov,1
Supercerebraco,1
Collectors_Item,1
Carbonell89,1
adnansenyurt,1
IconStaar,1
Jossssssssh,1
CheckMateKing64,1
gelawej,1
tijnverhoeven,1
PeterFreydl,1
Ghensin,1
nyanyoll,1
flecher9,1
Tarun802,1
percurio,1
ayrgn,1
D6DpOO1_W01v,1
HidiIstonka,1
Kostyasha,1
Bassri,1
siddharthinnani09,1
BigAssChessGuy,1
vitia9393,1
illiterate_axolotl,1
MarkSilver242,1
SOLINICK,1
caben,1
mikhailnedugov,1
ChessArmenia,1
bernie2302,1
jongerfinger,1
ELdenz,1
ilovechess244,1
lonnieoneil,1
silverdanb,1
Baldomero,1
gwadaenbrie,1
Davad123,1
IQMismatch,1
Yavuzz05,1
samcruise,1
Jacinto1947,1
faehnlein,1
caruchess,1
Sexinant,1
wind1000,1
hiteshsinghvi,1
PavelKC,1
Kaliandrik,1
feodepatchole2,1
Kapitan58,1
CheckingMeansWinning,1
l_l_lepl_l_leHb,1
Alebiella,1
ekrem1954,1
patrikwasilewski,1
KazachenkoKir,1
Eblinskiy,1
Shan_1,1
ndukwugc,1
jim2600,1
volfy,1
Maasken,1
Aboud_ST,1
Lee1985,1
alexbollv56,1
Lakshayjain,1
