user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Baltinok,50.0,46.0,4.0,100.0,1224.0
Hatm310,41.0,58.0,0.0,36.0,1558.0
Napoleon_1_Bonaparte,41.0,49.0,10.0,100.0,689.0
vivekbattan,62.0,37.0,0.0,48.0,1521.0
leichtfigurmatrose,53.0,47.0,0.0,100.0,1148.0
konykonyi,54.0,37.0,9.0,100.0,1933.0
phidalgo07,35.0,59.0,6.0,100.0,1225.0
bingo-chess,56.0,42.0,2.0,100.0,1955.0
echecs1603,49.0,48.0,3.0,100.0,1322.0
e-pap,51.0,33.0,16.0,100.0,2349.0
lsabate1,44.0,52.0,4.0,100.0,1685.0
BruhBruuh,48.0,46.0,6.0,100.0,1662.0
Augustogp,43.0,50.0,6.0,48.0,1780.0
VOLVOVO,53.0,44.0,3.0,100.0,1253.0
Halasto,60.0,40.0,0.0,5.0,1578.0
Rock-Dorf,60.0,40.0,0.0,100.0,1366.0
gmchalkias,35.0,48.0,17.0,100.0,1904.0
StormesterNiels,100.0,0.0,0.0,6.0,1258.0
asaka2023,52.0,40.0,8.0,100.0,1747.0
Cheikh_Musa,0.0,100.0,0.0,30.0,1111.0
fede456,46.0,52.0,2.0,100.0,1613.0
Softenstein,55.0,37.0,8.0,100.0,2173.0
zaphiri,42.0,56.0,2.0,100.0,1486.0
Orest_Zinchuk,32.0,58.0,9.0,93.0,1628.0
Lev_Trofimov-11,70.0,20.0,10.0,30.0,1272.0
double-o,48.0,46.0,6.0,100.0,1188.0
Nor_mohamed,44.0,55.0,1.0,100.0,1651.0
MariiaKo23,52.0,46.0,2.0,100.0,1035.0
kriksan,41.0,55.0,4.0,100.0,1663.0
Chessbragais,53.0,46.0,1.0,100.0,1747.0
keinPuls,48.0,46.0,6.0,100.0,1593.0
sleepruim,40.0,57.0,2.0,100.0,1851.0
edifanobeuq,40.0,50.0,10.0,100.0,2088.0
Kitkat1234g,52.0,33.0,15.0,100.0,1471.0
yumurtaadam,66.0,33.0,0.0,9.0,1828.0
Jasraj27,51.0,47.0,2.0,100.0,1358.0
Alex240977,50.0,50.0,0.0,18.0,1821.0
ARDAGUMEC,75.0,25.0,0.0,24.0,1833.0
dixie10,33.0,66.0,0.0,18.0,1569.0
ismailkayir,49.0,50.0,1.0,100.0,1261.0
zhanbusinova888,22.0,70.0,8.0,100.0,434.0
Aj0_j0y,50.0,50.0,0.0,6.0,1483.0
Molai_m,49.0,49.0,2.0,100.0,1820.0
ivan19721212,50.0,48.0,2.0,100.0,1983.0
Kortazz,40.0,57.0,2.0,100.0,1829.0
modyxXx,52.0,44.0,4.0,100.0,1366.0
Mentalist28,50.0,46.0,4.0,100.0,1532.0
sakattack7,89.0,5.0,5.0,57.0,2234.0
Black-Fighter,40.0,54.0,6.0,100.0,2225.0
Ninjaloux,45.0,51.0,4.0,100.0,1919.0
Soncuong1982,100.0,0.0,0.0,12.0,2257.0
Sabarivasan_17,34.0,61.0,3.0,78.0,793.0
DemonReincarnation,50.0,50.0,0.0,18.0,1674.0
oxida2,44.0,52.0,4.0,100.0,1774.0
treim92,45.0,54.0,0.0,93.0,1165.0
HeYCaNn,0.0,100.0,0.0,6.0,1738.0
Xeyal_Mehdi,0.0,100.0,0.0,3.0,1298.0
michael_ws,54.0,46.0,0.0,100.0,1426.0
Prince_Akiba,49.0,40.0,11.0,100.0,2576.0
ronaksitapara,56.0,43.0,1.0,100.0,1453.0
Yakovlev17,54.0,36.0,10.0,100.0,1019.0
Burserg,46.0,44.0,10.0,100.0,1755.0
PhillyNomad,45.0,54.0,1.0,100.0,1761.0
Sasha_Kosenko,0.0,100.0,0.0,3.0,1361.0
DeepCreek,55.0,42.0,3.0,100.0,1404.0
rene250382,13.0,86.0,0.0,69.0,1832.0
naftalion,46.0,51.0,3.0,100.0,2096.0
Repoco,50.0,50.0,0.0,66.0,1087.0
joaofranciscomendes,42.0,56.0,1.0,100.0,1682.0
jonarecica,52.0,41.0,7.0,100.0,2137.0
Ahmedabdelkhalek255,40.0,56.0,3.0,100.0,1638.0
Ashotia,50.0,50.0,0.0,18.0,2416.0
Joyboyy3,24.0,71.0,5.0,100.0,1303.0
fikro,56.0,39.0,5.0,100.0,1931.0
hari-tccstars,63.0,34.0,3.0,100.0,1997.0
A_Perugini,100.0,0.0,0.0,3.0,2123.0
AQFHUNTER,42.0,56.0,1.0,100.0,1091.0
A1552f,51.0,48.0,1.0,100.0,1576.0
skifas67,52.0,42.0,6.0,100.0,2246.0
PUPILOGM,62.0,34.0,4.0,100.0,1677.0
awn14,33.0,56.0,10.0,100.0,720.0
Melikov-Roman,25.0,75.0,0.0,24.0,1256.0
The_poet_of_god,61.0,34.0,5.0,100.0,2002.0
Time175,53.0,44.0,3.0,100.0,2067.0
yanachlene,49.0,47.0,4.0,100.0,922.0
LORDIMPALER2000,45.0,53.0,2.0,100.0,1800.0
Sevets,49.0,48.0,3.0,100.0,1675.0
nigma007,49.0,46.0,5.0,100.0,2158.0
AKBAMAP1H,53.0,44.0,3.0,100.0,1384.0
DeviouBoots,53.0,45.0,2.0,100.0,1944.0
inedit,50.0,33.0,16.0,18.0,1772.0
Kirill_003,56.0,41.0,3.0,100.0,2068.0
JeremyFitzgerald,46.0,47.0,7.0,100.0,2115.0
justinsloan,49.0,43.0,8.0,100.0,1499.0
ILQAR313ILQARELIYEV,52.0,48.0,0.0,100.0,1606.0
