user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,combined_draw4,user_time_performance,op_time_performance,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
surajsingh,0.6,0.292,331.0,45.08,mrXabq,0.492,0.237,332.0,45.34,1.0,1876.3333333333333,1854.0,159.0,2222.235873,2692.308784,1736.993871,2542.326402,4.32475,0.094024,0.016826999999999998,2550.0,1980.0,-30.0,0.35579999999999995,0.193356,1.0
Tr0sT,0.589,0.25,353.0,45.0,Yusuf_Yakub,0.673,0.109,407.0,45.1,1.0,1912.3333333333333,1896.3333333333333,14.0,2490.854652,2236.519355,2419.394355,2124.560928,3.22175,0.1895,0.026814,2806.0,1989.0,96.0,0.098363,0.36207400000000006,1.0
Djokic,0.537,0.185,200.0,45.04,mehdivet,0.483,0.207,242.0,46.29,1.0,1424.0,2131.6666666666665,-865.0,2293.907834,1930.36298,2365.578341,2380.95,5.21,0.04847,0.022563,2070.0,2600.0,-4.0,0.24648300000000004,0.294147,1.0
GarwinDornblumII,0.322,0.203,323.0,45.04,Fitz_Chivalry,0.463,0.13,382.0,46.01,-1.0,1712.6666666666667,1196.6666666666667,604.0,3033.222412,1888.331445,2709.378243,1791.07299,3.26225,0.040600000000000004,0.00403,2744.0,1880.0,6.0,0.1288,0.267614,1.0
Boza84,0.769,0.108,315.0,45.02,DrMaque,0.645,0.242,412.0,45.05,-1.0,2507.0,2668.3333333333335,-253.0,2309.394868,1291.379661,2542.362954,1253.656305,13.542,0.012528000000000001,0.0,1353.0,2688.0,-113.0,0.643653,0.603075,1.0
Tunahan001,0.46,0.254,198.0,47.6,Linteo,0.5,0.125,258.0,45.71,-1.0,1844.6666666666667,1989.6666666666667,-167.0,3188.896111,3147.944852,1578.701775,1369.4188889999998,4.00625,0.04191,0.0065,3120.0,1584.0,45.0,0.29118,0.362,1.0
Fireman173,0.279,0.395,210.0,47.22,dream9kk,0.323,0.262,220.0,45.02,-1.0,1391.0,2064.3333333333335,-702.0,1548.784512,1421.5126300000002,3838.21263,2859.553872,3.1384999999999996,0.13904,0.049256,1558.0,3180.0,0.0,0.025947,0.11305,1.0
calindou,0.471,0.309,286.0,45.03,a18u,0.492,0.231,245.0,45.58,0.0,2336.3333333333335,2364.3333333333335,7.0,2030.7316200000002,2406.355671,2016.15,2398.553792,5.197,0.024102,0.07854000000000001,1720.0,2808.0,-99.0,0.304737,0.185484,1.0
vic564,0.66,0.085,401.0,62.32,sipkes,0.607,0.148,387.0,45.07,-1.0,2232.0,1955.6666666666667,305.0,3110.606682,2045.846208,2483.267866,1336.379954,5.456,0.01156,0.030487999999999998,2392.0,2184.0,-53.0,0.43626000000000004,0.321103,0.63
GREGORYNAPE,0.466,0.103,450.0,45.07,angellotus,0.476,0.19,412.0,49.82,1.0,987.3333333333334,1088.3333333333333,-82.0,2108.821542,3266.1000000000004,1330.65,2301.6,3.78275,0.0062829999999999995,0.0,2379.0,2052.0,72.0,0.25397000000000003,0.038556,1.5873015873015872
