user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_average_win_diff,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,draw_rate,combined_draw4,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
asya_temiz,0.528,0.0,273.0,99.95,AdrianLublinBG2,0.545,0.242,354.0,68.46,-1.0,1187.3333333333333,870.6666666666666,316.66666666666663,195.0,1581.867804,1396.246355,3462.618019,3039.6965880000002,9.0,3.46475,1100.0,3604.0,-402.0,1.1640000000000001,1.197,0.48
athe48,0.554,0.125,421.0,68.83,Megantara_Wowor,0.6,0.217,489.0,115.88,1.0,2226.3333333333335,2009.6666666666667,216.66666666666674,219.0,2074.78125,1931.3333759999998,2535.81916,2228.484375,0.0,6.44225,500.0,6000.0,-261.0,1.054,0.794,1.25
atoll53,0.625,0.161,586.0,45.07,ramabiswal77,0.561,0.228,621.0,45.09,-1.0,2113.6666666666665,2026.3333333333333,87.33333333333326,141.0,2337.402697,2529.75,2301.6,2221.01798,2.0,2.8305,1927.0,2912.0,6.0,0.904,1.174,1.5873015873015872
avemaria2025,0.515,0.235,338.0,91.99,old_grandfather,0.709,0.163,340.0,45.67,-1.0,2579.3333333333335,2441.6666666666665,137.66666666666697,123.0,1495.569355,1291.38297,3026.661017,2705.2712610000003,5.0,4.78725,1988.0,1876.0,-177.0,0.89,1.44,1.0
avyuktdutta,0.354,0.195,231.0,62.48,TimeSands,0.312,0.25,371.0,56.73,1.0,1013.3333333333334,1282.3333333333333,268.9999999999999,-261.0,4103.775,4749.087276000001,609.305466,796.636478,6.0,6.16675,2920.0,1200.0,479.0,0.8009999999999999,0.7010000000000001,1.3333333333333333
ayonen,0.341,0.386,269.0,84.25,Anaglazkova324,0.5,0.174,543.0,66.3,-1.0,1271.6666666666667,1030.3333333333333,241.33333333333348,237.0,2916.65,1460.249674,2745.7448759999997,1470.267143,19.0,6.2415,2280.0,1650.0,-94.0,0.927,1.131,0.6
aytug_9,0.391,0.156,223.0,48.08,victor678,0.479,0.208,174.0,45.01,-1.0,1835.6666666666667,1695.6666666666667,140.0,160.0,2501.266005,3619.02,1388.905,1769.2301240000002,14.0,4.7675,3534.0,1000.0,53.0,1.053,0.671,0.72
ayvazyanars,0.527,0.091,316.0,51.36,raulando_08,0.509,0.211,402.0,45.94,-1.0,1851.6666666666667,1965.3333333333333,113.66666666666652,-106.0,2380.95,1885.25,2517.183818,2157.75,12.0,5.217499999999999,2400.0,2021.0,15.0,1.002,1.259,1.0
b237,0.571,0.175,210.0,46.55,Handyplayer,0.486,0.194,371.0,45.51,1.0,2745.0,2335.3333333333335,409.6666666666665,502.0,2263.1480800000004,1410.657066,2918.558679,2176.1760369999997,12.0,5.9845,2108.0,1947.0,67.0,0.704,1.013,1.0
baluga05081991,0.662,0.132,312.0,53.62,SquareGripper27,0.552,0.224,277.0,45.09,1.0,2563.0,2561.3333333333335,1.666666666666515,-3.0,2339.18538,2583.004554,2132.3331120000003,2010.5465609999999,8.0,3.183,2450.0,2100.0,18.0,1.171,0.932,0.42
bannamahendrasingh,0.538,0.212,552.0,47.73,Angkolbandam,0.589,0.232,620.0,45.32,-1.0,1960.6666666666667,2030.3333333333333,69.66666666666652,-70.0,2510.2885760000004,2028.675,2510.2885760000004,2151.625,8.0,3.5730000000000004,2520.0,2064.0,119.0,0.67,0.989,1.0
barnaba03,0.52,0.2,391.0,201.02,Mahi_mastermind_0707,0.475,0.322,635.0,147.66,1.0,1350.3333333333333,1212.3333333333333,138.0,87.0,3724.1400000000003,1272.72,3776.26007,1321.8368389999998,2.0,2.4325,3190.0,1763.0,-67.0,1.165,0.915,0.36
barrioni,0.463,0.418,252.0,49.83,PhantomGambit,0.596,0.123,248.0,47.11,1.0,1948.6666666666667,1754.6666666666667,194.0,218.0,3071.2625,2418.6724,1956.480946,1699.1999999999998,13.0,4.84125,2200.0,2100.0,5.0,0.869,1.056,0.3
basel_saad99,0.576,0.169,272.0,45.25,Inocencio_1,0.412,0.314,270.0,45.36,-1.0,2006.3333333333333,1970.3333333333333,36.0,27.0,2999.035232,2185.795264,2185.776815,1905.2250000000001,8.0,3.20075,2585.0,2009.0,75.0,1.0539999999999998,0.745,1.0
baysed1400,0.298,0.234,290.0,46.67,Reykjavik2022,0.475,0.23,323.0,45.04,-1.0,1380.0,1687.0,307.0,-457.0,2857.15,1031.18165,3886.8331040000003,1805.5625000000002,7.0,4.00175,2100.0,2548.0,1.0,0.863,0.7749999999999999,1.0
bela-csi,0.434,0.245,237.0,54.09,Lucky_SLI,0.654,0.136,268.0,45.51,-1.0,2514.6666666666665,2410.6666666666665,104.0,203.0,1886.213598,1146.417072,3930.5359799999997,3034.386402,6.0,2.00975,1638.0,3172.0,-236.0,0.593,0.9530000000000001,1.0
bembol123,0.4579999999999999,0.203,326.0,122.35,mushypeas33,0.5,0.122,272.0,68.5,1.0,1810.3333333333333,1612.6666666666667,197.66666666666652,347.0,2017.55,1646.18964,3149.698266,2695.12804,6.0,2.782,1872.0,2745.0,-43.0,1.041,1.258,1.0
bennyg,0.576,0.169,382.0,47.65,Muslim_001,0.696,0.143,311.0,45.42,1.0,1788.3333333333333,2275.0,486.66666666666674,-541.0,2118.9450239999996,2965.6392299999998,1795.012539,2494.330839,4.0,3.1937499999999996,2695.0,2107.0,29.0,1.233,1.129,1.0
beratbaran,0.479,0.271,420.0,45.17,KangZaman,0.567,0.183,520.0,45.1,-1.0,2003.6666666666667,1995.3333333333333,8.333333333333485,96.0,1982.2531250000002,1885.238355,2713.35896,2798.484375,2.0,2.859,1764.0,3087.0,-29.0,0.5579999999999999,1.123,0.57
betgo,0.786,0.089,528.0,45.13,Heuler07,0.559,0.176,449.0,52.44,-1.0,1524.0,1690.3333333333333,166.33333333333326,-144.0,1279.9463429999998,1150.593324,3515.600284,3474.153657,2.0,3.92825,999.0,4340.0,2.0,1.478,1.3010000000000002,0.5
bgusty,0.604,0.146,320.0,59.08,Vatagoo,0.54,0.127,361.0,45.7,1.0,1282.6666666666667,1891.6666666666667,609.0,-598.0,1967.222014,1587.703125,3256.03125,2641.1877959999997,11.0,3.24575,800.0,3525.0,159.0,0.983,1.307,0.36
bhola55,0.214,0.179,354.0,67.91,PepedeHuelva,0.467,0.167,336.0,45.06,-1.0,1149.0,1035.3333333333333,113.66666666666674,92.0,2391.53838,1406.250426,3302.578125,2603.6383800000003,7.0,0.95875,3080.0,1628.0,-54.0,0.48,0.589,0.48
bhong1980,0.527,0.127,380.0,51.86,zamirRP,0.63,0.093,232.0,45.05,1.0,1644.6666666666667,1976.6666666666667,332.0,-346.0,2895.5508959999997,1996.902765,2703.561444,1689.712596,10.0,3.597,2773.0,1755.0,104.0,1.339,1.138,1.0
