user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
TONI22222,1,35.0,60.0,4.0,70.0,28.947,65.789,5.263,38.0,47.222,50.0,2.778,36.0,D00,A40,A80,A01,0.321,0.536,0.071,0.209,0.791,0.0,383.0
youngcapablanca,-1,92.0,0.0,7.0,39.0,63.855,22.892,13.253,83.0,66.667,21.429,11.905,42.0,A00,C00,E81,C54,0.198,0.63,0.173,0.107,0.857,0.036,711.0
alumno_malcriado,-1,59.0,34.0,7.0,100.0,61.29,30.645,8.065,62.0,58.73,34.921,6.349,63.0,B06,A40,B12,B02,0.147,0.507,0.32,0.268,0.488,0.244,261.0
Alperensezgin,-1,52.0,41.0,7.0,100.0,53.968,39.683,6.349,63.0,48.387,46.774,4.839,62.0,A40,A10,C40,A22,0.172,0.453,0.266,0.185,0.537,0.111,220.0
bobbyfinisher,-1,59.0,38.0,3.0,100.0,56.452,40.323,3.226,62.0,47.619,52.381,0.0,63.0,D00,B10,B27,A43,0.246,0.523,0.185,0.293,0.655,0.052,351.0
FighterJetMate,-1,55.0,39.0,6.0,100.0,57.812,32.812,9.375,64.0,47.541,42.623,9.836,61.0,A00,C00,B07,A00,0.136,0.47,0.364,0.851,0.085,0.064,378.0
doel_roehim,1,17.0,78.0,5.0,100.0,19.048,77.778,3.175,63.0,17.742,77.419,4.839,62.0,C62,D02,A00,C24,0.13,0.478,0.391,0.082,0.608,0.289,387.0
Priom707,1,46.0,45.0,9.0,100.0,50.794,47.619,1.587,63.0,45.161,41.935,12.903,62.0,C42,C50,A22,A50,0.233,0.5,0.2,0.393,0.446,0.161,412.0
iliotropion,1,14.0,85.0,0.0,21.0,58.333,36.667,5.0,60.0,58.462,41.538,0.0,65.0,B00,A40,A84,D30,0.301,0.671,0.0,0.265,0.735,0.0,440.0
Bofamily1,-1,0.0,0.0,0.0,0.0,54.545,45.455,0.0,11.0,16.667,50.0,33.333,6.0,nonStandard,C01,A00,C00,0.143,0.857,0.0,0.25,0.625,0.125,290.0
Gerry_16_Roscio,1,46.0,53.0,1.0,100.0,53.125,46.875,0.0,64.0,40.984,55.738,3.279,61.0,C20,C40,A00,B07,0.339,0.339,0.288,0.469,0.5,0.031,334.0
velihast,-1,47.0,50.0,3.0,100.0,50.0,47.059,2.941,68.0,36.842,61.404,1.754,57.0,D00,C41,A80,D31,0.2,0.673,0.091,0.104,0.761,0.104,385.0
M_i_c_h_a_e_l_Bel,1,40.0,52.0,8.0,100.0,36.508,58.73,4.762,63.0,40.323,54.839,4.839,62.0,C00,C02,B28,C41,0.167,0.438,0.292,0.141,0.648,0.211,352.0
callmeChinaski,-1,39.0,61.0,0.0,100.0,35.0,63.333,1.667,60.0,40.0,58.462,1.538,65.0,B00,A41,B02,C60,0.426,0.191,0.34,0.132,0.868,0.0,215.0
suchz37,-1,100.0,0.0,0.0,57.0,98.214,1.786,0.0,56.0,97.101,2.899,0.0,69.0,C42,B01,C42,A45,0.238,0.656,0.09,0.0,1.0,0.0,222.0
Jordings,0,0.0,0.0,0.0,0.0,50.0,48.387,1.613,62.0,55.556,38.095,6.349,63.0,B00,A41,C62,B27,0.242,0.515,0.242,0.148,0.741,0.111,228.0
zhifeizhi,1,42.0,57.0,0.0,21.0,50.0,48.438,1.562,64.0,40.984,59.016,0.0,61.0,C41,A04,B09,E70,0.228,0.491,0.228,0.149,0.761,0.075,348.0
andrej10,0,0.0,0.0,0.0,0.0,61.29,35.484,3.226,62.0,49.206,46.032,4.762,63.0,C44,C45,C56,C10,0.29,0.565,0.101,0.059,0.392,0.451,298.0
Luchinrojo,-1,42.0,54.0,4.0,100.0,45.312,51.562,3.125,64.0,36.066,60.656,3.279,61.0,D00,B00,C49,C44,0.137,0.627,0.216,0.171,0.714,0.114,386.0
Nikame,-1,77.0,19.0,4.0,100.0,74.194,20.968,4.839,62.0,80.952,15.873,3.175,63.0,A45,B56,E30,B07,0.278,0.557,0.155,0.13,0.348,0.478,237.0
Kenito20,-1,48.0,49.0,3.0,100.0,60.317,38.095,1.587,63.0,37.097,56.452,6.452,62.0,B01,B00,A06,B44,0.279,0.459,0.23,0.441,0.203,0.288,314.0
boltthe,1,46.0,46.0,8.0,100.0,46.032,46.032,7.937,63.0,45.161,46.774,8.065,62.0,A43,B32,B03,B08,0.123,0.596,0.281,0.086,0.879,0.034,226.0
magicleon77,1,47.0,50.0,3.0,100.0,47.541,47.541,4.918,61.0,54.688,45.312,0.0,64.0,C50,B01,C69,A35,0.312,0.5,0.141,0.103,0.724,0.155,418.0
