user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
PVHud,-1,33.0,66.0,0.0,18.0,48.438,46.875,4.688,64.0,36.066,57.377,6.557,61.0,B00,A00,B06,A11,0.208,0.547,0.226,0.338,0.538,0.123,362.0
i1312,1,51.0,45.0,4.0,100.0,42.623,49.18,8.197,61.0,51.562,46.875,1.562,64.0,C00,C02,B03,B28,0.169,0.593,0.237,0.15,0.667,0.183,536.0
dbizzleton,-1,0.0,0.0,0.0,0.0,42.623,57.377,0.0,61.0,46.875,50.0,3.125,64.0,B40,B00,nonStandard,A10,0.25,0.393,0.304,0.239,0.09,0.657,318.0
xamonan,-1,44.0,54.0,2.0,100.0,50.0,48.438,1.562,64.0,44.262,54.098,1.639,61.0,B01,C20,D02,A02,0.373,0.39,0.22,0.312,0.578,0.094,341.0
anti6464,-1,56.0,43.0,0.0,100.0,60.0,38.462,1.538,65.0,48.333,51.667,0.0,60.0,A00,C44,A25,C56,0.132,0.515,0.353,0.554,0.196,0.25,258.0
Fraksov,-1,45.0,51.0,4.0,100.0,57.143,36.508,6.349,63.0,51.613,37.097,11.29,62.0,A00,A15,C80,D10,0.162,0.632,0.206,0.043,0.239,0.717,282.0
ahmedtorky,1,41.0,56.0,3.0,100.0,34.426,63.934,1.639,61.0,45.312,50.0,4.688,64.0,C20,A40,A00,A20,0.4,0.4,0.2,0.268,0.493,0.197,201.0
HajdukZiviVjecno,-1,60.0,32.0,8.0,100.0,57.377,36.066,6.557,61.0,54.688,34.375,10.938,64.0,A45,D00,D87,D31,0.314,0.457,0.229,0.25,0.682,0.068,250.0
Mhp_15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perez5,1,50.0,48.0,2.0,100.0,61.905,33.333,4.762,63.0,50.0,50.0,0.0,62.0,B00,C50,C57,B34,0.314,0.557,0.1,0.058,0.096,0.846,248.0
fanto-mas_56,1,41.0,54.0,5.0,100.0,39.062,56.25,4.688,64.0,47.541,49.18,3.279,61.0,B02,B03,A15,C11,0.148,0.63,0.185,0.121,0.803,0.076,548.0
miakia,1,36.0,56.0,8.0,100.0,46.032,46.032,7.937,63.0,29.032,64.516,6.452,62.0,A06,A04,C36,A07,0.34,0.468,0.191,0.507,0.319,0.174,403.0
jokopurnomo123,-1,0.0,100.0,0.0,3.0,60.345,39.655,0.0,58.0,49.254,49.254,1.493,67.0,A40,D02,C42,A05,0.382,0.397,0.191,0.196,0.321,0.482,422.0
Rasul1362,0,0.0,0.0,0.0,0.0,45.763,47.458,6.78,59.0,45.455,48.485,6.061,66.0,B50,C02,B02,B43,0.193,0.596,0.211,0.1,0.817,0.083,418.0
khajebeygi,-1,47.0,45.0,8.0,100.0,53.226,41.935,4.839,62.0,46.032,42.857,11.111,63.0,A00,B01,A04,D02,0.161,0.613,0.226,0.679,0.264,0.0,376.0
eydivandimahmood,1,41.0,53.0,6.0,100.0,51.613,46.774,1.613,62.0,38.095,53.968,7.937,63.0,A00,C00,B00,D31,0.179,0.304,0.5,0.714,0.016,0.19,389.0
Scrubie,-1,46.0,47.0,7.0,100.0,46.774,45.161,8.065,62.0,46.032,49.206,4.762,63.0,C25,B12,A01,D15,0.293,0.466,0.224,0.22,0.424,0.356,401.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mikluha,0,51.0,41.0,8.0,100.0,48.387,46.774,4.839,62.0,44.444,50.794,4.762,63.0,B28,B50,E38,B01,0.069,0.586,0.328,0.016,0.672,0.262,425.0
MacaquinhoMatador,1,46.0,49.0,5.0,100.0,46.875,43.75,9.375,64.0,47.541,47.541,4.918,61.0,D02,A40,A91,A47,0.136,0.61,0.203,0.298,0.368,0.333,445.0
